idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,7.5,-7.199999999999999,22.2
3,13.5,-12.959999999999997,39.959999999999994
4,17.5,-16.799999999999997,51.8
5,18.5,-17.759999999999998,54.76
6,19.0,-18.239999999999995,56.239999999999995
7,21.0,-20.15999999999999,62.15999999999999
8,21.5,-20.64,63.64
9,22.0,-21.119999999999997,65.12
10,26.5,-23.47999999999999,76.47999999999999
11,26.5,-23.47999999999999,76.47999999999999
12,37.0,-33.55999999999999,107.55999999999999
13,54.0,-47.91999999999999,155.92
14,55.0,-48.87999999999998,158.88
15,61.0,-54.64,176.64
16,61.0,-54.64,176.64
17,61.0,-54.64,176.64
18,63.5,-57.03999999999999,184.04
19,63.5,-57.03999999999999,184.04
20,64.5,-58.0,187.0
21,64.5,-58.0,187.0
22,64.5,-58.0,187.0
23,70.0,-63.27999999999997,203.27999999999997
24,70.0,-63.27999999999997,203.27999999999997
25,70.0,-63.27999999999997,203.27999999999997
26,71.0,-64.24000000000001,206.24
27,71.0,-64.24000000000001,206.24
28,72.0,-65.19999999999999,209.2
29,72.0,-65.19999999999999,209.2
30,77.0,-68.03999999999999,222.04
31,77.0,-68.03999999999999,222.04
32,78.0,-69.0,225.0
33,82.0,-72.84,236.84
34,82.0,-72.84,236.84
35,82.0,-72.84,236.84
36,88.0,-78.6,254.6
37,88.0,-78.6,254.6
38,108.0,-97.79999999999998,313.79999999999995
39,108.0,-97.79999999999998,313.79999999999995
40,115.0,-104.51999999999998,334.52
41,117.0,-106.44,340.44
42,117.5,-106.91999999999996,341.91999999999996
43,120.5,-109.79999999999998,350.79999999999995
44,121.0,-110.28,352.28
45,123.5,-112.68,359.68
46,124.5,-113.63999999999996,362.64
47,124.5,-113.63999999999996,362.64
48,137.0,-125.63999999999999,399.64
49,138.5,-127.07999999999998,404.08
50,141.0,-129.48000000000002,411.48
51,147.5,-131.79999999999995,426.79999999999995
52,147.5,-131.79999999999995,426.79999999999995
53,166.0,-147.60000000000002,479.6
54,166.5,-148.07999999999998,481.08
55,178.0,-159.12,515.12
56,178.0,-159.12,515.12
57,178.0,-159.12,515.12
58,178.5,-159.60000000000002,516.6
59,179.0,-160.07999999999998,518.0799999999999
60,184.0,-162.91999999999996,530.92
61,184.5,-163.39999999999998,532.4
62,188.5,-167.24,544.24
63,189.0,-167.7199999999999,545.7199999999999
64,190.5,-169.15999999999997,550.16
65,194.0,-172.51999999999998,560.52
66,194.0,-172.51999999999998,560.52
67,206.0,-184.03999999999996,596.04
68,206.5,-184.51999999999998,597.52
69,206.5,-182.55999999999995,595.56
70,221.0,-196.47999999999996,638.48
71,221.0,-196.47999999999996,638.48
72,230.0,-205.11999999999995,665.1199999999999
73,232.5,-207.51999999999998,672.52
74,235.0,-207.96000000000004,677.96
75,232.5,-205.55999999999995,670.56
76,225.0,-198.35999999999996,648.3599999999999
77,222.0,-195.47999999999996,639.48
78,222.0,-195.47999999999996,639.48
79,230.5,-203.63999999999993,664.6399999999999
80,230.0,-203.15999999999997,663.16
81,245.5,-216.07999999999998,707.0799999999999
82,244.0,-214.63999999999993,702.6399999999999
83,244.0,-214.63999999999993,702.6399999999999
84,239.5,-212.27999999999997,691.28
85,239.5,-212.27999999999997,691.28
86,231.0,-204.11999999999995,666.1199999999999
87,219.5,-195.04000000000002,634.04
88,216.5,-192.15999999999997,625.16
89,217.5,-193.11999999999995,628.1199999999999
90,217.0,-192.64,626.64
91,217.0,-192.64,626.64
92,217.0,-192.64,626.64
93,218.0,-193.59999999999997,629.5999999999999
94,219.0,-194.56,632.56
95,228.5,-203.67999999999995,660.68
96,232.0,-205.07999999999993,669.0799999999999
97,227.0,-200.27999999999992,654.28
98,227.0,-200.27999999999992,654.28
99,228.5,-201.71999999999997,658.72
100,227.0,-200.27999999999992,654.28
101,227.0,-200.27999999999992,654.28
102,233.5,-206.51999999999998,673.52
103,235.5,-208.43999999999994,679.4399999999999
104,235.0,-209.91999999999996,679.92
105,237.0,-211.83999999999992,685.8399999999999
106,237.0,-211.83999999999992,685.8399999999999
107,234.0,-208.96000000000004,676.96
108,211.0,-186.87999999999988,608.8799999999999
109,213.5,-185.3599999999999,612.3599999999999
110,216.5,-188.24,621.24
111,209.0,-181.03999999999996,599.04
112,222.0,-189.59999999999997,633.5999999999999
113,225.0,-192.47999999999996,642.48
114,237.5,-204.48000000000002,679.48
115,238.5,-205.43999999999994,682.4399999999999
116,240.5,-207.36,688.36
117,240.5,-207.36,688.36
118,249.5,-215.99999999999994,715.0
119,248.5,-215.0399999999999,712.04
120,247.5,-214.07999999999998,709.0799999999999
121,248.0,-214.56,710.56
122,237.0,-204.0,678.0
123,242.0,-208.79999999999995,692.8
124,245.5,-212.15999999999997,703.16
125,255.0,-221.27999999999992,731.28
126,232.5,-199.67999999999995,664.68
127,231.5,-200.67999999999995,663.68
128,233.0,-202.11999999999995,668.1199999999999
129,234.0,-203.07999999999993,671.0799999999999
130,234.0,-203.07999999999993,671.0799999999999
131,233.0,-202.11999999999995,668.1199999999999
132,234.0,-203.07999999999993,671.0799999999999
133,232.5,-201.63999999999993,666.6399999999999
134,235.0,-206.0,676.0
135,235.0,-206.0,676.0
136,231.0,-202.15999999999997,664.16
137,230.5,-201.67999999999995,662.68
138,236.5,-207.43999999999994,680.4399999999999
139,235.5,-206.48000000000002,677.48
140,235.5,-206.48000000000002,677.48
141,221.0,-192.56,634.56
142,223.0,-194.47999999999996,640.48
143,226.5,-199.7999999999999,652.8
144,214.5,-188.27999999999997,617.28
145,216.0,-189.7199999999999,621.7199999999999
146,208.5,-182.51999999999998,599.52
147,209.5,-181.51999999999998,600.52
148,207.0,-181.07999999999998,595.0799999999999
149,207.0,-181.07999999999998,595.0799999999999
150,207.5,-181.55999999999995,596.56
151,208.0,-182.03999999999996,598.04
152,227.5,-194.88000000000005,649.8800000000001
153,220.0,-187.67999999999995,627.68
154,220.0,-187.67999999999995,627.68
155,211.5,-181.48000000000002,604.48
156,211.5,-181.48000000000002,604.48
157,220.5,-188.15999999999997,629.16
158,223.5,-189.07999999999998,636.0799999999999
159,223.5,-189.07999999999998,636.0799999999999
160,236.5,-201.55999999999995,674.56
161,234.0,-199.15999999999997,667.16
162,234.5,-199.63999999999993,668.6399999999999
163,235.0,-200.11999999999995,670.1199999999999
164,235.5,-200.59999999999997,671.5999999999999
165,242.0,-204.88,688.88
166,244.5,-207.27999999999997,696.28
167,244.5,-207.27999999999997,696.28
168,245.5,-208.2399999999999,699.2399999999999
169,236.0,-199.11999999999995,671.1199999999999
170,233.5,-198.67999999999995,665.68
171,233.0,-198.2,664.2
172,237.5,-202.51999999999998,677.52
173,236.5,-201.55999999999995,674.56
174,230.0,-195.31999999999988,655.3199999999999
175,230.5,-195.7999999999999,656.8
176,230.0,-195.31999999999988,655.3199999999999
177,229.0,-194.35999999999996,652.3599999999999
178,227.0,-192.44,646.44
179,227.5,-192.92000000000002,647.9200000000001
180,228.0,-193.40000000000003,649.4000000000001
181,223.0,-188.59999999999997,634.5999999999999
182,224.5,-190.04000000000002,639.04
183,222.0,-191.56,635.56
184,220.0,-189.64,629.64
185,221.5,-191.07999999999998,634.0799999999999
186,223.0,-196.44,642.44
187,209.5,-183.48000000000002,602.48
188,210.5,-184.44000000000005,605.44
189,212.5,-186.3599999999999,611.3599999999999
190,213.0,-186.83999999999992,612.8399999999999
191,226.0,-197.35999999999996,649.3599999999999
192,225.5,-196.88000000000005,647.8800000000001
193,220.5,-192.07999999999998,633.0799999999999
194,219.0,-190.64,628.64
195,219.0,-190.64,628.64
196,219.0,-190.64,628.64
197,225.5,-196.88000000000005,647.8800000000001
198,225.0,-196.40000000000003,646.4000000000001
199,214.5,-188.27999999999997,617.28
200,209.5,-183.48000000000002,602.48
201,210.0,-183.96000000000004,603.96
202,211.0,-184.91999999999996,606.92
203,211.5,-185.39999999999998,608.4
204,212.5,-186.3599999999999,611.3599999999999
205,213.0,-186.83999999999992,612.8399999999999
206,228.5,-201.71999999999997,658.72
207,226.5,-199.7999999999999,652.8
208,226.5,-199.7999999999999,652.8
209,227.5,-198.7999999999999,653.8
210,227.0,-198.31999999999988,652.3199999999999
211,226.0,-197.35999999999996,649.3599999999999
212,231.5,-202.63999999999993,665.6399999999999
213,232.5,-203.59999999999997,668.5999999999999
214,229.5,-200.71999999999997,659.72
215,230.0,-201.2,661.2
216,229.0,-200.23999999999995,658.24
217,227.0,-198.31999999999988,652.3199999999999
218,225.5,-196.88000000000005,647.8800000000001
219,228.0,-199.27999999999992,655.28
220,228.5,-199.75999999999993,656.76
221,232.0,-205.07999999999993,669.0799999999999
222,232.5,-205.55999999999995,670.56
223,238.0,-210.83999999999992,686.8399999999999
224,236.0,-208.91999999999996,680.92
225,239.0,-211.79999999999995,689.8
226,225.5,-204.71999999999997,655.72
227,222.5,-201.83999999999997,646.8399999999999
228,219.5,-198.95999999999998,637.96
229,228.0,-205.15999999999997,661.16
230,227.0,-204.2,658.2
231,221.5,-200.88000000000005,643.8800000000001
232,221.0,-202.35999999999996,644.3599999999999
233,218.0,-199.47999999999996,635.48
234,211.0,-192.76,614.76
235,218.5,-197.99999999999994,635.0
236,228.5,-207.59999999999997,664.5999999999999
237,230.0,-209.03999999999996,669.04
238,224.5,-203.75999999999993,652.76
239,225.0,-206.2,656.2
240,231.5,-212.43999999999994,675.4399999999999
241,237.0,-217.7199999999999,691.7199999999999
242,243.5,-221.99999999999994,709.0
243,236.5,-215.27999999999997,688.28
244,239.0,-217.67999999999995,695.68
245,242.5,-221.0399999999999,706.04
246,244.0,-222.47999999999996,710.48
247,248.5,-226.7999999999999,723.8
248,249.0,-227.27999999999992,725.28
249,254.0,-230.1199999999999,738.1199999999999
250,256.0,-232.03999999999996,744.04
251,276.0,-245.36,797.36
252,275.0,-244.39999999999998,794.4
253,276.0,-245.36,797.36
254,278.0,-243.36,799.36
255,276.5,-241.91999999999996,794.92
256,279.0,-244.31999999999994,802.3199999999999
257,276.0,-241.43999999999994,793.4399999999999
258,283.0,-248.15999999999997,814.16
259,307.0,-261.4,875.4
260,302.5,-257.0799999999999,862.0799999999999
261,318.5,-266.55999999999995,903.56
262,309.0,-257.43999999999994,875.4399999999999
263,303.5,-252.15999999999997,859.16
264,311.5,-259.8399999999999,882.8399999999999
265,302.5,-253.15999999999997,858.16
266,321.5,-263.55999999999995,906.56
267,323.0,-265.0,911.0
268,313.0,-255.39999999999998,881.4
269,329.0,-270.76,928.76
270,343.5,-276.8399999999999,963.8399999999999
271,377.5,-295.76,1050.76
272,375.0,-293.3599999999999,1043.36
273,381.5,-301.55999999999995,1064.56
274,381.0,-301.0799999999999,1063.08
275,385.0,-299.03999999999996,1069.04
276,398.0,-309.55999999999983,1105.56
277,406.0,-317.24,1129.24
278,407.5,-318.67999999999995,1133.6799999999998
279,391.5,-303.31999999999994,1086.32
280,388.0,-299.9599999999999,1075.96
281,388.5,-300.43999999999994,1077.44
282,387.5,-299.4799999999999,1074.48
283,390.0,-303.8399999999999,1083.84
284,389.5,-303.3599999999999,1082.36
285,395.0,-308.64,1098.6399999999999
286,390.0,-303.8399999999999,1083.84
287,390.5,-304.31999999999994,1085.32
288,397.0,-310.55999999999983,1104.56
289,400.5,-313.91999999999985,1114.9199999999998
290,401.0,-314.39999999999986,1116.3999999999999
291,401.5,-314.8799999999999,1117.8799999999999
292,401.5,-314.8799999999999,1117.8799999999999
293,397.0,-310.55999999999983,1104.56
294,429.0,-323.63999999999976,1181.6399999999999
295,427.0,-321.7199999999999,1175.7199999999998
296,430.0,-322.63999999999976,1182.6399999999999
297,426.0,-318.79999999999984,1170.7999999999997
298,421.5,-314.4799999999999,1157.48
299,422.5,-315.43999999999994,1160.44
300,420.5,-313.52,1154.52
301,434.0,-322.55999999999983,1190.56
302,435.5,-323.9999999999999,1195.0
303,421.0,-310.08000000000004,1152.08
304,428.0,-312.88,1168.88
305,430.0,-312.84000000000003,1172.8400000000001
306,440.0,-316.55999999999983,1196.56
307,439.5,-316.0799999999998,1195.08
308,437.5,-312.19999999999993,1187.1999999999998
309,434.0,-308.84000000000003,1176.8400000000001
310,430.0,-304.9999999999999,1165.0
311,445.0,-311.55999999999983,1201.56
312,447.0,-311.51999999999987,1205.52
313,447.5,-310.03999999999985,1205.04
314,441.0,-303.79999999999984,1185.7999999999997
315,435.0,-298.03999999999996,1168.04
316,432.0,-297.12,1161.12
317,431.0,-294.19999999999993,1156.1999999999998
318,428.5,-291.79999999999995,1148.8
319,428.5,-291.79999999999995,1148.8
320,427.5,-290.8399999999999,1145.84
321,422.5,-286.03999999999985,1131.04
322,422.0,-287.51999999999987,1131.52
323,430.5,-293.72,1154.72
324,429.5,-292.76,1151.76
325,409.0,-278.9599999999999,1096.96
326,405.5,-275.5999999999999,1086.6
327,407.0,-277.03999999999996,1091.04
328,400.5,-274.72,1075.72
329,411.0,-278.91999999999996,1100.92
330,421.0,-288.51999999999987,1130.52
331,397.5,-263.9999999999999,1059.0
332,387.0,-253.91999999999996,1027.92
333,386.0,-262.7599999999999,1034.7599999999998
334,386.5,-263.2399999999999,1036.2399999999998
335,396.0,-284.1199999999999,1076.12
336,397.0,-283.1199999999999,1077.12
337,421.0,-306.15999999999997,1148.1599999999999
338,421.0,-306.15999999999997,1148.1599999999999
339,423.5,-308.55999999999995,1155.56
340,424.5,-309.52,1158.52
341,427.0,-311.91999999999996,1165.92
342,432.0,-316.7199999999999,1180.7199999999998
343,423.0,-308.08000000000004,1154.08
344,413.0,-304.3599999999999,1130.36
345,379.0,-287.4,1045.4
346,367.5,-276.3599999999999,1011.3599999999999
347,371.5,-278.2399999999999,1021.2399999999999
348,373.0,-279.67999999999995,1025.6799999999998
349,373.0,-285.55999999999983,1031.56
350,367.0,-283.7199999999999,1017.7199999999999
351,361.0,-277.9599999999999,999.9599999999999
352,361.0,-276.0,998.0
353,359.5,-274.55999999999995,993.56
354,355.5,-270.72,981.72
355,354.0,-269.28,977.28
356,352.5,-267.8399999999999,972.8399999999999
357,360.0,-269.15999999999997,989.16
358,356.0,-265.31999999999994,977.3199999999999
359,355.0,-260.43999999999994,970.4399999999999
360,350.5,-256.1199999999999,957.1199999999999
361,350.5,-256.1199999999999,957.1199999999999
362,344.5,-250.36,939.36
