idx,mean,ci_lower,ci_upper
1,0.0,,
2,0.0,,
3,0.0,,
4,0.0,,
5,0.0,,
6,0.0,,
7,0.0,,
8,0.0,,
9,0.0,,
10,0.0,,
11,0.0,,
12,0.0,,
13,0.0,,
14,0.0,,
15,0.0,,
16,0.0,,
17,0.0,,
18,0.0,,
19,0.0,,
20,0.0,,
21,0.0,,
22,0.0,,
23,0.0,,
24,0.0,,
25,0.0,,
26,0.0,,
27,0.0,,
28,0.0,,
29,0.0,,
30,0.0,,
31,0.0,,
32,0.0,,
33,0.0,,
34,0.0,,
35,0.0,,
36,0.0,,
37,0.0,,
38,0.0,,
39,0.0,,
40,0.0,,
41,0.0,,
42,0.0,,
43,0.0,,
44,0.0,,
45,0.0,,
46,0.0,,
47,0.0,,
48,0.0,,
49,0.0,,
50,1.0,,
51,1.0,,
52,1.0,,
53,1.0,,
54,1.0,,
55,1.0,,
56,1.0,,
57,1.0,,
58,1.0,,
59,1.0,,
60,1.0,,
61,1.0,,
62,1.0,,
63,1.0,,
64,1.0,,
65,1.0,,
66,1.0,,
67,1.0,,
68,1.0,,
69,1.0,,
70,1.0,,
71,1.0,,
72,1.0,,
73,1.0,,
74,1.0,,
75,1.0,,
76,1.0,,
77,1.0,,
78,1.0,,
79,1.0,,
80,1.0,,
81,1.0,,
82,1.0,,
83,1.0,,
84,1.0,,
85,1.0,,
86,1.0,,
87,1.0,,
88,2.0,,
89,2.0,,
90,2.0,,
91,2.0,,
92,2.0,,
93,2.0,,
94,2.0,,
95,2.0,,
96,2.0,,
97,2.0,,
98,2.0,,
99,2.0,,
100,3.0,,
101,3.0,,
102,3.0,,
103,3.0,,
104,3.0,,
105,3.0,,
106,3.0,,
107,3.0,,
108,3.0,,
109,3.0,,
110,3.0,,
111,3.0,,
112,3.0,,
113,3.0,,
114,3.0,,
115,3.0,,
116,3.0,,
117,4.0,,
118,4.0,,
119,4.0,,
120,4.0,,
121,4.0,,
122,4.0,,
123,4.0,,
124,3.0,,
125,3.0,,
126,4.0,,
127,4.0,,
128,4.0,,
129,4.0,,
130,4.0,,
131,4.0,,
132,4.0,,
133,4.0,,
134,4.0,,
135,4.0,,
136,4.0,,
137,4.0,,
138,4.0,,
139,4.0,,
140,4.0,,
141,4.0,,
142,4.0,,
143,4.0,,
144,4.0,,
145,4.0,,
146,4.0,,
147,4.0,,
148,4.0,,
149,4.0,,
150,4.0,,
151,4.0,,
152,4.0,,
153,4.0,,
154,4.0,,
155,4.0,,
156,4.0,,
157,4.0,,
158,4.0,,
159,4.0,,
160,4.0,,
161,4.0,,
162,3.0,,
163,3.0,,
164,3.0,,
165,3.0,,
166,3.0,,
167,3.0,,
168,3.0,,
169,3.0,,
170,3.0,,
171,3.0,,
172,3.0,,
173,3.0,,
174,2.0,,
175,2.0,,
176,2.0,,
177,2.0,,
178,2.0,,
179,2.0,,
180,2.0,,
181,2.0,,
182,2.0,,
183,2.0,,
184,2.0,,
