idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.015873015873015872,-0.015238095238095242,0.04698412698412699
14,0.15873015873015872,0.03167861492625604,0.28578170253406143
15,0.15873015873015872,0.03167861492625604,0.28578170253406143
16,0.19047619047619047,0.058482924654701646,0.3224694562976793
17,0.19047619047619047,0.058482924654701646,0.3224694562976793
18,0.2222222222222222,0.0536618928809493,0.3907825515634951
19,4.523809523809524,1.897390671900506,7.150228375718541
20,4.523809523809524,1.897390671900506,7.150228375718541
21,6.380952380952381,2.4067747987100963,10.355129963194667
22,6.507936507936508,2.4494123526068057,10.56646066326621
23,7.650793650793651,2.762467453133027,12.539119848454275
24,15.984126984126984,6.82945392229804,25.13880004595593
25,16.19047619047619,6.907316426843302,25.473635954109078
26,21.253968253968253,9.246105092767246,33.26183141516926
27,21.41269841269841,9.305024782608452,33.52037204278837
28,25.142857142857142,10.993735914271296,39.29197837144299
29,31.476190476190474,13.748491314631917,49.20388963774903
30,31.50793650793651,13.761272839348273,49.25460017652475
31,31.50793650793651,13.761272839348273,49.25460017652475
32,31.571428571428573,13.77645815720729,49.36639898564985
33,31.61904761904762,13.78075945198454,49.457335786110704
34,38.507936507936506,16.506370914318158,60.50950210155486
35,43.523809523809526,19.44648784230104,67.60113120531801
36,56.34920634920635,26.21755938483773,86.48085331357497
37,60.15873015873016,27.749193991609516,92.5682663258508
38,60.6031746031746,27.763260772256245,93.44308843409296
39,63.22222222222222,28.65962330191755,97.7848211425269
40,63.53968253968254,28.784054245430177,98.2953108339349
41,65.95238095238095,29.804000004387028,102.10076190037486
42,70.60317460317461,31.879749807873516,109.32659939847571
43,71.06349206349206,32.03019379297757,110.09679033400656
44,71.34920634920636,32.163079373557785,110.53533332485492
45,74.12698412698413,34.11040521307746,114.1435630408908
46,74.66666666666667,34.36847264290103,114.96486069043232
47,82.07936507936508,37.45433634384985,126.70439381488029
48,84.12698412698413,38.14295100730863,130.11101724665963
49,88.07936507936508,39.662316306564165,136.49641385216597
50,88.53968253968254,39.781322720569484,137.2980423587956
51,94.39682539682539,42.35219276690444,146.44145802674635
52,106.63492063492063,48.15023413905138,165.1196071307899
53,111.07936507936508,49.17577374194805,172.9829564167821
54,114.57142857142857,50.45986098641406,178.6829961564431
55,114.76190476190476,50.51387400118165,179.00993552262787
56,115.7936507936508,50.8433367284175,180.7439648588841
57,136.73015873015873,62.478769448912686,210.98154801140478
58,144.984126984127,65.82446252312353,224.14379144513043
59,150.14285714285714,67.97841801843529,232.30729626727899
60,156.984126984127,71.6897093531217,242.27854461513226
61,157.73015873015873,72.07824328447745,243.38207417584002
62,162.015873015873,72.57787024331417,251.45387578843184
63,200.76190476190476,96.1162205148169,305.4075890089926
64,202.1904761904762,96.7568263961123,307.62412598484013
65,202.53968253968253,96.88609683299579,308.19326824636926
66,214.57142857142858,103.09401603697683,326.04884110588034
67,215.76190476190476,103.62038717991645,327.90342234389306
68,259.85714285714283,132.3665910840885,387.34769463019717
69,260.41269841269843,132.61826247439114,388.2071343510057
70,260.8095238095238,132.79698916340683,388.8220584556408
71,265.8253968253968,135.1000973160058,396.55069633478786
72,274.6666666666667,139.63066447933014,409.70266885400326
73,295.2063492063492,151.86908443517106,438.54361397752734
74,311.0952380952381,160.14103073514738,462.04944545532874
75,311.22222222222223,160.19303757655462,462.25140686788984
76,311.968253968254,160.46316479130476,463.4733431452032
77,321.3174603174603,164.84425536294566,477.79066527197494
78,337.4761904761905,174.38186384081922,500.57051711156174
79,359.1904761904762,186.36839443397056,532.0125579469818
80,364.4761904761905,188.6804752116359,540.2719057407451
81,364.6666666666667,188.77907716558283,540.5542561677505
82,367.23809523809524,189.95753081991063,544.5186596562799
83,369.14285714285717,190.96176210359474,547.3239521821196
84,371.015873015873,191.7571420362709,550.2746039954751
85,380.44444444444446,196.40592924877103,564.4829596401179
86,381.1904761904762,196.74039920777412,565.6405531731783
87,391.6825396825397,203.11157735183264,580.2535020132468
88,392.63492063492066,203.70972616995775,581.5601150998835
89,394.95238095238096,204.9057373059058,584.9990245988561
90,403.92063492063494,208.70612205682065,599.1351477844493
91,412.46031746031747,213.4473234340022,611.4733114866327
92,496.6031746031746,269.61118856225266,723.5951606440965
93,502.6190476190476,272.9059904817685,732.3321047563267
94,504.6825396825397,273.8890889003854,735.475990464694
95,508.26984126984127,276.81441576140367,739.7252667782789
96,507.87301587301585,277.0070652280921,738.7389665179396
97,549.3492063492064,305.10562674291896,793.5927859554938
98,545.5238095238095,303.3339366545459,787.7136823930732
99,565.3968253968254,314.81239613790854,815.9812546557423
