idx,mean,ci_lower,ci_upper
1,0.0,,
2,0.0,,
3,0.0,,
4,0.0,,
5,0.0,,
6,0.0,,
7,0.0,,
8,0.0,,
9,0.0,,
10,0.0,,
11,0.0,,
12,0.0,,
13,0.0,,
14,0.0,,
15,0.0,,
16,0.0,,
17,0.0,,
18,2.0,,
19,33.0,,
20,33.0,,
21,33.0,,
22,33.0,,
23,33.0,,
24,35.0,,
25,37.0,,
26,40.0,,
27,42.0,,
28,42.0,,
29,42.0,,
30,43.0,,
31,43.0,,
32,43.0,,
33,45.0,,
34,45.0,,
35,48.0,,
36,48.0,,
37,48.0,,
38,48.0,,
39,59.0,,
40,67.0,,
41,70.0,,
42,70.0,,
43,70.0,,
44,70.0,,
45,70.0,,
46,71.0,,
47,71.0,,
48,73.0,,
49,73.0,,
50,75.0,,
51,79.0,,
52,82.0,,
53,82.0,,
54,84.0,,
55,84.0,,
56,85.0,,
57,85.0,,
58,86.0,,
59,87.0,,
60,87.0,,
61,94.0,,
62,94.0,,
63,95.0,,
64,95.0,,
65,95.0,,
66,101.0,,
67,101.0,,
68,102.0,,
69,102.0,,
70,102.0,,
71,102.0,,
72,103.0,,
73,104.0,,
74,104.0,,
75,103.0,,
76,103.0,,
77,103.0,,
78,103.0,,
79,103.0,,
80,102.0,,
81,102.0,,
82,102.0,,
83,103.0,,
84,104.0,,
85,103.0,,
86,103.0,,
87,103.0,,
88,103.0,,
89,114.0,,
90,119.0,,
91,117.0,,
92,89.0,,
93,90.0,,
94,89.0,,
95,89.0,,
96,90.0,,
97,93.0,,
98,93.0,,
99,94.0,,
100,94.0,,
101,92.0,,
102,92.0,,
103,99.0,,
104,101.0,,
105,100.0,,
106,97.0,,
107,97.0,,
108,93.0,,
109,102.0,,
110,103.0,,
111,131.0,,
112,133.0,,
113,123.0,,
114,125.0,,
115,124.0,,
116,124.0,,
117,132.0,,
118,132.0,,
119,133.0,,
120,132.0,,
121,132.0,,
122,130.0,,
123,129.0,,
124,127.0,,
125,123.0,,
126,121.0,,
127,121.0,,
128,119.0,,
129,119.0,,
130,117.0,,
131,117.0,,
132,118.0,,
133,118.0,,
134,118.0,,
135,111.0,,
136,111.0,,
137,114.0,,
138,128.0,,
139,130.0,,
140,128.0,,
141,128.0,,
142,128.0,,
143,130.0,,
144,130.0,,
145,130.0,,
146,132.0,,
147,132.0,,
148,149.0,,
149,149.0,,
150,150.0,,
151,150.0,,
152,150.0,,
153,150.0,,
154,150.0,,
155,176.0,,
156,176.0,,
157,179.0,,
158,179.0,,
159,181.0,,
160,190.0,,
161,190.0,,
162,197.0,,
163,183.0,,
164,183.0,,
165,192.0,,
166,192.0,,
167,198.0,,
168,198.0,,
169,212.0,,
170,205.0,,
171,202.0,,
172,203.0,,
173,203.0,,
174,220.0,,
175,243.0,,
176,244.0,,
177,229.0,,
178,229.0,,
179,229.0,,
180,229.0,,
181,233.0,,
182,233.0,,
183,225.0,,
184,223.0,,
