,E6qgW7,jQNpYD,dgZP3L,FAvEvi,QPbjvy,zhrVRY
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,0.0,0.0,0.0
11,0.0,1.0,0.0,0.0,0.0,0.0
12,0.0,1.0,0.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0
15,0.0,1.0,0.0,0.0,0.0,0.0
16,0.0,1.0,0.0,0.0,0.0,0.0
17,0.0,1.0,0.0,0.0,0.0,0.0
18,0.0,10.0,0.0,0.0,0.0,0.0
19,0.0,11.0,0.0,0.0,0.0,0.0
20,0.0,16.0,0.0,0.0,0.0,0.0
21,0.0,16.0,0.0,0.0,0.0,0.0
22,0.0,21.0,0.0,0.0,1.0,1.0
23,0.0,23.0,0.0,0.0,1.0,1.0
24,0.0,23.0,0.0,0.0,2.0,1.0
25,0.0,24.0,0.0,0.0,2.0,1.0
26,1.0,61.0,0.0,0.0,3.0,2.0
27,1.0,62.0,0.0,0.0,3.0,2.0
28,12.0,180.0,8.0,1.0,9.0,7.0
29,17.0,220.0,10.0,1.0,9.0,7.0
30,17.0,238.0,11.0,1.0,10.0,7.0
31,17.0,239.0,11.0,1.0,10.0,7.0
32,17.0,260.0,11.0,1.0,11.0,7.0
33,17.0,261.0,11.0,1.0,11.0,7.0
34,17.0,264.0,11.0,1.0,12.0,7.0
35,17.0,273.0,11.0,1.0,12.0,7.0
36,35.0,380.0,17.0,1.0,26.0,15.0
37,37.0,390.0,18.0,1.0,26.0,15.0
38,37.0,397.0,18.0,1.0,26.0,15.0
39,37.0,426.0,18.0,1.0,27.0,16.0
40,37.0,433.0,18.0,1.0,28.0,16.0
41,38.0,434.0,18.0,1.0,28.0,16.0
42,38.0,441.0,18.0,1.0,28.0,17.0
43,38.0,448.0,18.0,1.0,29.0,17.0
44,42.0,486.0,19.0,1.0,32.0,17.0
45,50.0,527.0,22.0,1.0,36.0,19.0
46,50.0,528.0,22.0,1.0,36.0,19.0
47,61.0,595.0,24.0,2.0,40.0,19.0
48,61.0,597.0,24.0,2.0,40.0,19.0
49,82.0,721.0,32.0,3.0,49.0,23.0
50,82.0,738.0,34.0,3.0,52.0,23.0
51,82.0,738.0,34.0,3.0,52.0,23.0
52,82.0,739.0,34.0,3.0,52.0,23.0
