idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.3333333333333333,-0.3200000000000001,0.9866666666666668
3,89.66666666666667,-53.123664160661335,232.45699749399466
4,91.66666666666667,-54.01787716386848,237.3512104972018
5,92.33333333333333,-54.6550513929587,239.32171805962537
6,97.66666666666667,-57.871954189305214,253.20528752263857
7,98.66666666666667,-58.82732531750749,256.16065865084084
8,101.0,-61.0569595337804,263.0569595337804
9,174.66666666666666,-96.01525474253603,445.3485880758693
10,204.0,-115.42788941063577,523.4278894106358
11,235.33333333333334,-133.77918525385545,604.4458519205222
12,264.6666666666667,-152.4287221567747,681.7620554901081
13,270.3333333333333,-155.88192516614572,696.5485918328123
14,282.6666666666667,-161.02892708101876,726.3622604143521
15,284.6666666666667,-162.00458087203242,731.3379142053658
16,286.0,-162.34473403100583,734.3447340310058
17,303.6666666666667,-173.51361643163762,780.846949764971
18,318.6666666666667,-185.95668242099134,823.2900157543247
19,328.6666666666667,-190.74483844699984,848.0781717803332
20,372.0,-214.19839553971258,958.1983955397126
21,372.3333333333333,-214.5160371566115,959.1827038232782
22,402.3333333333333,-227.76864754842148,1032.435314215088
23,403.3333333333333,-228.72167454001448,1035.3883412066812
24,417.0,-237.00689945392287,1071.0068994539229
25,419.6666666666667,-238.61943378240431,1077.9527671157377
26,440.6666666666667,-251.9415494106318,1133.2748827439652
27,443.3333333333333,-253.5537861088648,1140.2204527755314
28,444.0,-254.1893061340885,1142.1893061340884
29,451.0,-259.93264528598866,1161.9326452859887
30,457.3333333333333,-265.971583957969,1180.6382506246357
31,518.6666666666666,-295.6139383120129,1332.947271645346
32,521.6666666666666,-298.47591486683984,1341.809248200173
33,524.6666666666666,-300.4051312057637,1349.738464539097
34,634.0,-327.8016438607981,1595.801643860798
35,634.3333333333334,-328.1193619082446,1596.7860285749114
36,712.0,-357.9571602639053,1781.9571602639053
37,713.0,-358.9085714742653,1784.9085714742653
38,713.6666666666666,-359.54286300485944,1786.8761963381926
39,728.0,-368.5658461457449,1824.565846145745
40,731.0,-371.42000006047306,1833.420000060473
41,745.0,-380.02008112448084,1870.0200811244808
42,757.0,-386.71724221213594,1900.717242212136
43,760.6666666666666,-389.28296291620256,1910.616296249536
44,763.3333333333334,-389.86884780307867,1916.5355144697455
45,774.0,-395.29729872261305,1943.297298722613
46,786.6666666666666,-400.8897331916495,1974.2230665249826
