idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0625,-0.06,0.185
26,0.125,-0.042366862510673425,0.29236686251067345
27,0.125,-0.042366862510673425,0.29236686251067345
28,0.125,-0.042366862510673425,0.29236686251067345
29,0.125,-0.042366862510673425,0.29236686251067345
30,0.1875,-0.01002531483331448,0.3850253148333145
31,0.1875,-0.01002531483331448,0.3850253148333145
32,0.1875,-0.01002531483331448,0.3850253148333145
33,0.1875,-0.01002531483331448,0.3850253148333145
34,0.5625,-0.03007594449994333,1.1550759444999432
35,0.5625,-0.03007594449994333,1.1550759444999432
36,0.5625,-0.03007594449994333,1.1550759444999432
37,0.5625,-0.03007594449994333,1.1550759444999432
38,0.5625,-0.03007594449994333,1.1550759444999432
39,0.5625,-0.03007594449994333,1.1550759444999432
40,0.625,0.03496186563917747,1.2150381343608225
41,0.625,0.03496186563917747,1.2150381343608225
42,0.625,0.03496186563917747,1.2150381343608225
43,0.75,0.14324359638044748,1.3567564036195525
44,1.1875,0.3441161905751332,2.030883809424867
45,1.875,0.16935886932019995,3.5806411306798003
46,13.0625,-2.3357386303325818,28.460738630332582
47,14.1875,-2.555132695706291,30.93013269570629
48,16.0625,-3.4486648272640714,35.57366482726407
49,28.375,-8.493009416475601,65.2430094164756
50,31.3125,-10.45731760693559,73.08231760693559
51,46.1875,-15.07993335233926,107.45493335233925
52,50.4375,-16.642281550901515,117.51728155090152
53,57.1875,-19.195567339888882,133.5705673398889
54,57.875,-19.7027712041278,135.4527712041278
55,57.875,-19.7027712041278,135.4527712041278
56,59.125,-20.519698076310547,138.76969807631053
57,64.3125,-22.623446513798314,151.2484465137983
58,69.125,-24.11825776340794,162.36825776340794
59,82.125,-28.092382952962552,192.34238295296257
60,82.5625,-28.270108677455568,193.39510867745557
61,86.0625,-29.42451170658397,201.54951170658398
62,86.125,-29.48175758074582,201.7317575807458
63,89.0625,-30.764889438238754,208.88988943823875
64,89.25,-30.676870189016995,209.176870189017
65,91.4375,-31.222197155381878,214.09719715538188
66,94.6875,-32.57217199490184,221.94717199490185
67,95.0,-32.63510870185104,222.63510870185104
68,97.0625,-34.29350991040849,228.4185099104085
69,97.0,-34.36338586785385,228.36338586785385
70,105.5,-37.572616247834105,248.5726162478341
71,113.875,-39.32984265083357,267.0798426508336
72,114.5,-39.30901490701598,268.309014907016
73,115.4375,-38.33258512575952,269.2075851257595
74,115.625,-38.39459636682599,269.644596366826
75,121.6875,-32.02560868926133,275.40060868926133
76,135.8125,-37.00804963530811,308.6330496353081
77,137.0,-36.970656989428335,310.97065698942833
78,149.9375,-40.746046168995235,340.62104616899524
79,159.6875,-37.141844076495175,356.5168440764952
80,164.875,-34.267725731236965,364.01772573123696
81,169.25,-35.970634488834975,374.470634488835
82,170.0625,-36.09546957571959,376.22046957571956
83,178.5,-38.62245942478327,395.6224594247833
84,186.375,-40.64398833577775,413.39398833577775
85,186.75,-40.51250711457001,414.01250711457
86,187.0,-40.484366847482505,414.48436684748253
87,191.375,-38.72696006335974,421.47696006335974
88,192.75,-39.850579405985144,425.3505794059852
89,201.75,-43.84352042212623,447.34352042212623
90,202.5625,-44.23586174412367,449.36086174412367
91,203.9375,-45.0555050013119,452.9305050013119
92,205.0,-44.24914983472527,454.24914983472524
93,209.9375,-46.140673545208585,466.0156735452086
94,215.0,-47.87416923945443,477.87416923945443
95,216.5625,-48.361969537231175,481.4869695372312
96,220.75,-50.105199310135674,491.6051993101357
97,221.875,-51.05027150302516,494.80027150302516
98,254.25,-55.73937763521292,564.2393776352129
99,256.125,-56.77212782052396,569.022127820524
100,265.1875,-59.0201508087319,589.3951508087318
101,274.5,-62.31270781647578,611.3127078164757
102,275.875,-60.739991780916796,612.4899917809169
103,285.5625,-63.32731678019303,634.4523167801931
104,285.6875,-63.441710822559685,634.8167108225597
105,287.3125,-64.26140020153184,638.8864002015318
106,293.5,-67.74161233169139,654.7416123316914
107,293.875,-67.86196471100834,655.6119647110083
108,286.5,-79.55193017749087,652.5519301774909
109,288.9375,-80.84207352038345,658.7170735203835
110,290.25,-80.92588943787825,661.4258894378783
111,294.5625,-83.27009852248057,672.3950985224806
112,294.75,-83.44144688900622,672.9414468890062
113,294.6875,-83.38432892000384,672.7593289200038
