idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,4.211538461538462,2.2196544765592106,6.203422446517713
3,41.93269230769231,26.183264722235535,57.68211989314908
4,89.79807692307692,56.46351356998603,123.13264027616782
5,91.66346153846153,57.52094288964336,125.80598018727972
6,92.25961538461539,57.90752354976577,126.611707219465
7,104.50961538461539,65.28255400762902,143.73667676160176
8,105.26923076923077,65.74990678830389,144.78855475015766
9,153.59615384615384,101.63298353237847,205.5593241599292
10,154.65384615384616,102.1728779361163,207.13481437157603
11,159.42307692307693,104.61943807093837,214.2267157752155
12,171.06730769230768,111.56259045722013,230.57202492739523
13,171.35576923076923,111.67518538597852,231.03635307555993
14,178.31730769230768,115.63812229821644,240.9964930863989
15,178.65384615384616,115.79354451594128,241.51414779175104
16,181.30769230769232,117.05628025149679,245.55910436388785
17,199.30769230769232,128.57132367347714,270.0440609419075
18,199.42307692307693,128.64781457043975,270.19833927571415
19,199.67307692307693,128.82445680693286,270.521697039221
20,214.47115384615384,137.2453204442504,291.69698724805727
21,215.4903846153846,137.69484485820414,293.2859243725651
22,226.15384615384616,143.83959356345943,308.46809874423286
23,226.5096153846154,143.98315908856034,309.03607168067043
24,235.27884615384616,149.17275091359213,321.3849413941002
25,236.47115384615384,149.69471318594273,323.247594506365
26,257.8557692307692,163.67785594459664,352.0336825169418
27,288.66346153846155,185.02261031454367,392.3043127623794
28,290.09615384615387,185.6646287719346,394.52767892037315
29,294.7019230769231,188.08591926986142,401.3179268839848
30,300.36538461538464,191.05128549717773,409.67948373359155
31,306.16346153846155,194.037758415493,418.2891646614301
32,312.2307692307692,197.33629692632334,427.1252415352151
33,315.3173076923077,199.07580979173548,431.5588055928799
34,320.99038461538464,202.40875906011632,439.57201017065296
35,336.7019230769231,212.45443636303446,460.9494097908117
36,337.2980769230769,212.75424652812984,461.84190731802397
37,338.25,213.2373716971941,463.26262830280587
38,339.625,213.94916107906735,465.3008389209326
39,339.6730769230769,214.01941438818145,465.3267394579724
40,364.16346153846155,230.96206297789846,497.36486009902467
41,364.125,230.90796089726274,497.34203910273726
42,365.7692307692308,231.9207231904998,499.61773834796173
43,366.1057692307692,232.0956698200642,500.11586864147426
44,366.6057692307692,232.2983799559397,500.91315850559874
45,370.2019230769231,234.3032926155016,506.10055353834457
46,371.1826923076923,234.77100430784995,507.5943803075347
47,371.28846153846155,234.81481451710712,507.76210855981594
48,386.66346153846155,244.88103342242866,528.4458896544944
49,386.7692307692308,244.94420463715394,528.5942569013076
50,399.59615384615387,253.16709828961683,546.025209402691
51,402.08653846153845,254.57870341641336,549.5943735066635
52,411.6826923076923,260.2090040457952,563.1563805695894
53,412.625,260.7273156510072,564.5226843489928
54,415.1826923076923,262.02957844252825,568.3358061728563
55,416.7692307692308,262.9418727010394,570.5965888374221
56,430.02884615384613,271.35063224747216,588.7070600602201
57,432.625,272.7764227353626,592.4735772646375
58,437.0480769230769,275.00629891462665,599.0898549315272
59,441.625,277.6203992100675,605.6296007899325
60,441.8076923076923,277.70331977332967,605.912064842055
61,472.9519230769231,299.85881118539737,646.0450349684488
62,481.66346153846155,305.0870391427245,658.2398839341986
63,491.125,310.86238949069656,671.3876105093034
64,491.65384615384613,311.1258077100813,672.181884597611
65,491.7019230769231,311.11468336367625,672.2891627901699
66,496.4230769230769,313.7447117702328,679.101442075921
67,518.1730769230769,328.5095100108066,707.8366438353472
68,517.4038461538462,328.11254298116876,706.6951493265236
69,519.1057692307693,328.7373156654537,709.4742227960849
70,514.4134615384615,325.8625172071916,702.9644058697315
71,547.9519230769231,350.2940537309511,745.6097924228951
72,522.3173076923077,334.78702539593627,709.8475899886791
73,522.5673076923077,335.09100480949576,710.0436105751197
74,537.5673076923077,344.7215548343986,730.4130605502169
75,537.0576923076923,344.4125214883524,729.7028631270321
76,545.3653846153846,349.21053029831927,741.52023893245
77,547.8365384615385,350.536380145473,745.1366967776039
78,542.5769230769231,347.45995216860007,737.6938939852462
79,575.5,370.88668446311647,780.1133155368835
80,564.5673076923077,363.2525229101576,765.8820924744579
81,576.5769230769231,370.7405292706896,782.4133168831565
82,577.3557692307693,371.10731523768465,783.604223223854
83,541.1057692307693,344.31507379843396,737.8964646631046
84,540.5288461538462,344.0565415070158,737.0011508006766
85,538.6346153846154,342.9490456819699,734.3201850872608
86,534.9134615384615,340.4869410652262,729.339982011697
87,530.4807692307693,338.01775122077174,722.9437872407668
88,524.8365384615385,333.767514702251,715.9055622208259
89,523.2211538461538,332.8526587636605,713.5896489286472
90,518.875,330.16976100673213,707.5802389932678
91,495.13461538461536,316.15184515938836,674.1173856098424
92,511.8076923076923,326.6883891852023,696.9269954301824
93,519.2307692307693,330.71786395915717,707.7436745023814
94,520.4038461538462,331.28060162975333,709.527090677939
95,519.1538461538462,330.5699045292672,707.7377877784252
96,508.9519230769231,324.47401915432897,693.4298269995172
97,492.91346153846155,314.1474232327208,671.6794998442023
98,526.8461538461538,334.8678522226983,718.8244554696093
99,529.75,336.48432647819425,723.0156735218058
100,544.0192307692307,345.61323353412206,742.4252280043394
101,523.5096153846154,331.10161128328537,715.9176194859454
102,523.8846153846154,331.2028576424185,716.5663731268122
103,522.7884615384615,330.7815324329912,714.7953906439319
104,524.375,331.81238712724723,716.9376128727528
105,529.7596153846154,335.4759927672845,724.0432380019463
106,527.2692307692307,333.82729434292844,720.711167195533
107,527.0865384615385,333.6798373593897,720.4932395636872
108,511.72115384615387,323.9338498847716,699.5084578075362
109,505.8557692307692,320.2672337257226,691.4443047358159
110,507.9519230769231,321.40523703515885,694.4986091186873
111,508.6442307692308,321.77348553372417,695.5149760047374
112,510.125,322.645908258055,697.604091741945
113,511.6923076923077,323.39667479607033,699.987940588545
114,508.91346153846155,320.9082529120825,696.9186701648406
115,512.1826923076923,322.8037926016138,701.5615920137707
116,518.5865384615385,326.68209738667565,710.4909795364013
117,518.0961538461538,326.45625190495116,709.7360557873565
118,517.4615384615385,326.11886302487994,708.804213898197
119,537.375,339.5775077811602,735.1724922188398
