idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.019230769230769232,-0.007292020569949719,0.045753559031488186
3,0.40384615384615385,0.19378718202254508,0.6139051256697626
4,0.7980769230769231,0.4363971980013205,1.1597566481525257
5,0.8942307692307693,0.48026877813242197,1.3081927603291166
6,1.7019230769230769,0.9179597602222533,2.4858863936239004
7,1.7692307692307692,0.9679157415797331,2.570545796881805
8,3.173076923076923,1.7976824607349933,4.5484713854188525
9,4.221153846153846,2.43039947216665,6.011908220141041
10,4.413461538461538,2.554001660794929,6.272921416128147
11,4.625,2.6961353207885512,6.553864679211449
12,4.701923076923077,2.7487268554204656,6.655119298425688
13,5.509615384615385,3.2529622251290196,7.7662685441017505
14,5.596153846153846,3.3175928788816558,7.874714813426036
15,5.625,3.338164525772849,7.911835474227151
16,5.701923076923077,3.388474173078366,8.015371980767787
17,5.740384615384615,3.4094667638956193,8.071302466873611
18,6.644230769230769,3.9117353216590494,9.376726216802489
19,8.115384615384615,4.8959891016266806,11.33478012914255
20,14.692307692307692,9.226437275331287,20.158178109284094
21,14.875,9.348278013270798,20.4017219867292
22,15.173076923076923,9.498581621090267,20.84757222506358
23,16.96153846153846,10.490595877484598,23.432481045592322
24,30.028846153846153,18.69412590674333,41.363566400948976
25,33.29807692307692,20.31744987575449,46.27870397039935
26,40.48076923076923,24.411055638282196,56.550482823256274
27,63.41346153846154,40.03007189057256,86.79685118635052
28,65.67307692307692,41.13871038462523,90.20744346152861
29,66.625,41.631836751477636,91.61816324852236
30,70.36538461538461,43.60624113736684,97.12452809340239
31,77.61538461538461,47.89963158063091,107.33113765013832
32,79.58653846153847,48.957540579210736,110.2155363438662
33,87.40384615384616,53.33920835712242,121.46848395056989
34,91.86538461538461,55.79835478297661,127.93241444779261
35,114.5576923076923,71.2844687985408,157.8309158168438
36,115.5673076923077,71.76544007930747,159.36917530530792
37,127.34615384615384,79.02504584258587,175.6672618497218
38,127.98076923076923,79.34170527859222,176.61983318294625
39,152.66346153846155,96.3106813143867,209.0162417625364
40,152.85576923076923,96.44487921473048,209.266659246808
41,160.47115384615384,100.88569130860643,220.05661638370125
42,160.55769230769232,100.92224230586221,220.19314230952244
43,172.7596153846154,108.54832849988928,236.97090226934148
44,176.03846153846155,110.2243016425063,241.8526214344168
45,178.76923076923077,111.70106661595466,245.8373949225069
46,182.47115384615384,113.74022897176924,251.20207872053845
47,187.64423076923077,116.6421621339456,258.64629940451596
48,219.1346153846154,138.81639724170742,299.45283352752335
49,226.40384615384616,143.1373109049276,309.67038140276475
50,226.85576923076923,143.38624060211936,310.3252978594191
51,227.30769230769232,143.5758899122165,311.03949470316815
52,227.33653846153845,143.55655070599983,311.1165262170771
53,240.56730769230768,151.84421299537775,329.2904023892376
54,241.47115384615384,152.33767732902226,330.6046303632854
55,243.1346153846154,153.1368188925971,333.1324118766337
56,244.84615384615384,154.00461690553644,335.6876907867712
57,247.65384615384616,155.55456418981998,339.75312811787234
58,280.5480769230769,178.56789368735645,382.52826015879737
59,288.27884615384613,182.98707398755568,393.5706183201366
60,292.2019230769231,184.921695291175,399.4821508626712
61,293.4423076923077,185.51105393466122,401.37356144995414
62,293.50961538461536,185.56023380437236,401.45899696485833
63,295.9326923076923,186.83923172042068,405.02615289496396
64,304.2692307692308,191.74568033792775,416.7927812005338
65,319.3173076923077,201.13648957768964,437.4981258069257
66,319.53846153846155,201.26556347039912,437.811359606524
67,319.77884615384613,201.38790008212067,438.1697922255716
68,320.58653846153845,201.82464130349325,439.34843561958365
69,337.38461538461536,212.60181745585308,462.16741331337766
70,345.5192307692308,217.35212459432034,473.6863369441412
71,365.5673076923077,230.20699253566033,500.927622848955
72,368.0480769230769,231.4808525331421,504.61530131301174
73,375.02884615384613,235.5085979986386,514.5490943090537
74,384.75,241.29022289982788,528.2097771001721
75,403.38461538461536,253.20182630360208,553.5674044656287
76,403.5769230769231,253.3162995970743,553.8375465567719
77,404.27884615384613,253.63020416984492,554.9274881378474
78,404.66346153846155,253.7778033932804,555.5491196836426
79,423.4230769230769,265.7560517963343,581.0901020498195
80,437.84615384615387,274.59486398996876,601.097443702339
81,466.75,293.94625820654437,639.5537417934556
82,482.2980769230769,303.4517582049673,661.1443956411865
83,497.8557692307692,312.92753031362577,682.7840081479127
84,498.21153846153845,313.09581235407063,683.3272645690063
85,510.7980769230769,320.5592642906638,701.03688955549
86,517.5576923076923,324.3140831131553,710.8013015022293
87,518.1057692307693,324.566158322512,711.6453801390265
88,518.5961538461538,324.7721379763233,712.4201697159843
89,518.8269230769231,324.8511136691678,712.8027324846785
90,532.7980769230769,333.5099203771279,732.086233469026
91,533.6346153846154,333.9141547413511,733.3550760278796
92,535.7884615384615,335.1691611073488,736.4077619695743
93,534.5288461538462,334.35489836593365,734.7027939417587
94,530.0384615384615,331.40527161843175,728.6716514584914
95,529.1153846153846,330.84629698291815,727.3844722478511
96,529.9519230769231,331.4048375077152,728.499008646131
97,529.0576923076923,330.9959299808247,727.1194546345598
98,521.5865384615385,326.38951514210027,716.7835617809767
99,514.0288461538462,322.2185510814071,705.8391412262853
100,512.7692307692307,321.4396937665191,704.0987677719423
101,499.6730769230769,312.6493307221962,686.6968231239575
102,498.91346153846155,312.35698910085614,685.469933976067
103,505.11538461538464,316.35338828460584,693.8773809461634
104,502.66346153846155,315.0804602496577,690.2464628272654
105,497.21153846153845,311.9216471555594,682.5014297675175
106,497.75961538461536,312.39695285711207,683.1222779121186
107,492.40384615384613,309.4239423321671,675.3837499755252
108,489.38461538461536,307.6941489093575,671.0750818598732
109,472.125,296.1021418700875,648.1478581299125
110,471.03846153846155,295.45569384705607,646.621229229867
111,464.63461538461536,291.46722710377094,637.8020036654598
112,462.61538461538464,290.1558053165239,635.0749639142454
113,456.97115384615387,285.88767512292355,628.0546325693842
114,466.2980769230769,291.19847737204134,641.3976764741125
115,472.7692307692308,295.37703930311187,650.1614222353496
116,466.52884615384613,291.3983142997849,641.6593780079074
117,465.96153846153845,291.0760762780311,640.8470006450458
118,466.15384615384613,291.16374924602184,641.1439430616704
119,464.21153846153845,290.1419106725034,638.2811662505735
120,460.66346153846155,288.160105843383,633.1668172335401
121,458.15384615384613,286.7986483192867,629.5090439884056
122,428.6923076923077,266.26519332616465,591.1194220584507
123,421.49038461538464,262.05905302715496,580.9217162036143
124,408.36538461538464,253.81862175431814,562.9121474764511
125,406.41346153846155,252.82150454081304,560.00541853611
126,418.0480769230769,260.79010176162444,575.3060520845294
127,419.27884615384613,261.49363333054646,577.0640589771458
