idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.75,0.22263452989506483,1.277365470104935
3,23.096153846153847,12.39151848922121,33.80078920308648
4,43.84615384615385,24.375507243111212,63.31680044919648
5,48.375,26.67393754257225,70.07606245742775
6,61.42307692307692,34.21466878501691,88.63148506113693
7,61.71153846153846,34.32842769581874,89.09464922725817
8,61.88461538461539,34.39111795654608,89.37811281268469
9,62.25961538461539,34.51755691103551,90.00167385819526
10,62.83653846153846,34.83869175838109,90.83438516469583
11,72.64423076923077,40.17035123186343,105.11811030659811
12,74.8173076923077,41.23824898923267,108.39636639538271
13,90.27884615384616,50.37010160525713,130.1875907024352
14,90.50961538461539,50.51411816435369,130.50511260487707
15,91.15384615384616,50.827584793327915,131.48010751436442
16,94.08653846153847,52.11778164985526,136.05529527322167
17,94.3173076923077,52.22882450519666,136.40579087941873
18,104.21153846153847,57.5635997106029,150.85947721247402
19,133.98076923076923,77.4768166878458,190.48472177369266
20,145.20192307692307,83.60929366734402,206.7945524865021
21,148.95192307692307,85.37014070637714,212.533705447469
22,150.05769230769232,85.75136540129938,214.36401921408526
23,151.04807692307693,86.18334800603616,215.9128058401177
24,154.70192307692307,87.91364428383787,221.49020187000826
25,158.875,89.8502575480619,227.8997424519381
26,164.26923076923077,92.55377125452014,235.9846902839414
27,191.09615384615384,109.98956237795889,272.2027453143488
28,196.97115384615384,112.92467583249434,281.0176318598133
29,197.67307692307693,113.47467340918301,281.87148043697084
30,198.34615384615384,113.77871032363036,282.9135973686773
31,198.75,113.98569031431968,283.5143096856803
32,232.40384615384616,136.89452621452287,327.9131660931695
33,246.40384615384616,145.53795222714768,347.26974008054464
34,249.8653846153846,147.14932277365216,352.58144645711707
35,250.33653846153845,147.33334635340722,353.33973056966965
36,252.6153846153846,148.32922974802725,356.901539482742
37,252.33653846153845,148.132555617187,356.5405213058899
38,266.24038461538464,155.28012198015256,377.2006472506167
39,267.3269230769231,155.61048485997696,379.0433612938692
40,294.09615384615387,172.77107682878483,415.4212308635229
41,293.8173076923077,172.4714044055674,415.16321097904796
42,319.1826923076923,188.63496885380277,449.73041576158187
43,319.4519230769231,188.77702720713287,450.12681894671334
44,320.0673076923077,188.9978001879881,451.13681519662725
45,322.1057692307692,189.90525165904094,454.30628680249754
46,323.41346153846155,190.48314290741965,456.3437801695035
47,324.46153846153845,190.95359664328558,457.96948027979136
48,341.66346153846155,201.22662977128533,482.10029330563776
49,343.47115384615387,202.03468706351904,484.90762062878866
50,344.72115384615387,202.59194825740903,486.8503594348987
51,346.02884615384613,203.200917236745,488.85677507094726
52,347.6057692307692,204.0459943948569,491.16554406668155
53,349.71153846153845,204.99566362229444,494.42741330078246
54,351.1057692307692,205.62496158108948,496.586576880449
55,351.0480769230769,205.61545417769207,496.48069966846174
56,351.5480769230769,205.78429631676602,497.3118575293878
57,351.1057692307692,205.5545800638964,496.65695839764203
58,376.4326923076923,221.33789691374236,531.5274877016423
59,381.63461538461536,223.91600590240012,539.3532248668306
60,381.74038461538464,223.97555501500457,539.5052142157647
61,382.625,224.37874527831903,540.871254721681
62,391.00961538461536,228.64003760360157,553.3791931656292
63,412.97115384615387,242.12561507885897,583.8166926134488
64,416.63461538461536,243.88927447715838,589.3799562920724
65,416.6826923076923,243.86585457220676,589.4995300431779
66,422.9423076923077,246.99684199367684,598.8877733909385
67,422.625,246.83718961666048,598.4128103833395
68,435.0,253.73144232439984,616.2685576756002
69,421.47115384615387,245.45200731723813,597.4903003750696
70,422.61538461538464,245.9082598085129,599.3225094222564
71,423.875,246.53777279977498,601.212227200225
72,423.34615384615387,246.22253123244445,600.4697764598633
73,422.75961538461536,245.85310354241304,599.6661272268177
74,407.66346153846155,237.63763386462014,577.6892892123029
75,408.1923076923077,237.84732102946882,578.5372943551465
76,409.7019230769231,238.56369100006566,580.8401551537805
77,411.1442307692308,239.17181647366684,583.1166450647947
78,413.02884615384613,239.98543081418228,586.07226149351
79,409.6923076923077,238.25553980070012,581.1290755839152
80,400.78846153846155,232.8598462534742,568.7170768234489
81,401.125,232.94956217247355,569.3004378275265
82,401.8557692307692,233.186911529483,570.5246269320554
83,405.2019230769231,234.77433153771662,575.6295146161295
84,411.6057692307692,237.9218554704324,585.289682991106
85,419.22115384615387,242.7135278587806,595.7287798335271
86,419.2019230769231,242.68953784974846,595.7143083040977
87,406.9423076923077,235.22795866036748,578.6566567242479
88,408.3557692307692,235.76294769598857,580.9485907655499
89,413.8942307692308,238.42441637134408,589.3640451671174
90,427.15384615384613,246.32195026060373,607.9857420470885
91,397.52884615384613,226.57886279995336,568.478829507739
92,399.3942307692308,227.87973073160737,570.9087308068542
93,423.96153846153845,245.71063155309056,602.2124453699863
94,424.66346153846155,245.93414599286302,603.3927770840601
95,434.0769230769231,251.3638408738836,616.7900052799625
96,433.2307692307692,251.13721066096568,615.3243278005727
97,433.7692307692308,251.45278704322382,616.0856744952378
98,431.5769230769231,250.33081854214734,612.8230276116989
99,454.0,266.14680890326144,641.8531910967386
100,456.0,267.13000776027627,644.8699922397237
101,435.625,253.1121065410132,618.1378934589868
102,430.9423076923077,250.82872155619256,611.0558938284228
103,436.375,253.8997566001692,618.8502433998308
104,436.16346153846155,253.7281563978143,618.5987666791088
105,437.4230769230769,254.3620559641015,620.4840978820523
106,397.9807692307692,227.57571886871196,568.3858195928265
107,396.46153846153845,227.10372468940045,565.8193522336765
108,402.46153846153845,229.93546900517035,574.9876079179065
109,396.61538461538464,227.2908931607998,565.9398760699695
110,397.3557692307692,227.70046621608284,567.0110722454556
111,396.08653846153845,226.42493377091546,565.7481431521614
112,397.4519230769231,227.23385107435536,567.6699950794908
113,408.125,233.50041134389986,582.7495886561002
114,385.3557692307692,218.43937266321757,552.2721657983209
115,385.90384615384613,218.74951285716628,553.058179450526
116,366.22115384615387,206.03280039695667,526.4095072953511
117,365.5480769230769,205.28825099577557,525.8079028503782
118,370.5576923076923,208.16232263280793,532.9530619825767
119,369.125,207.4226253965066,530.8273746034934
120,372.0,208.72898601384958,535.2710139861504
121,371.2307692307692,208.46893452231242,533.992603939226
122,357.52884615384613,199.91325473366476,515.1444375740275
123,356.50961538461536,199.45543949952625,513.5637912697044
124,360.0480769230769,201.70173268564685,518.3944211605069
