idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.3269230769230769,0.13860797324546817,0.5152381806006857
3,32.74038461538461,19.307145530573273,46.173623700195954
4,33.75961538461539,19.931032858390594,47.58819791084018
5,36.00961538461539,21.16385052502034,50.85538024421044
6,39.91346153846154,23.374423260703164,56.45249981621991
7,42.77884615384615,24.995854270257976,60.56183803743433
8,55.59615384615385,32.94832253532374,78.24398515698395
9,59.79807692307692,35.385923851283394,84.21022999487045
10,61.21153846153846,36.16112408054458,86.26195284253234
11,62.75,37.0355126035684,88.4644873964316
12,62.75961538461539,37.02388592417731,88.49534484505347
13,64.375,37.93224314018536,90.81775685981464
14,73.23076923076923,43.41751842099123,103.04402004054722
15,85.22115384615384,50.81565262255917,119.62665506974851
16,88.9326923076923,52.875475806674274,124.98990880871034
17,89.89423076923077,53.33120974283886,126.45725179562268
18,100.99038461538461,60.12315792743732,141.8576113033319
19,101.75,60.573886338123856,142.92611366187614
20,104.6923076923077,62.17672578506083,147.20788959955456
21,106.66346153846153,63.36318966362557,149.9637334132975
22,110.9326923076923,65.78651868638525,156.07886592899936
23,114.95192307692308,67.97170627241337,161.9321398814328
24,120.63461538461539,71.23815877312106,170.03107199610972
25,124.00961538461539,73.08690264239537,174.9323281268354
26,124.99038461538461,73.61246177273156,176.36830745803766
27,132.85576923076923,78.3583556662967,187.35318279524176
28,134.69230769230768,79.37019055487087,190.01442482974448
29,136.95192307692307,80.48909193952554,193.4147542143206
30,137.97115384615384,81.0401855416642,194.9021221506435
31,138.84615384615384,81.57584317371445,196.11646451859323
32,149.09615384615384,87.67094553893128,210.5213621533764
33,150.73076923076923,88.65349230833061,212.80804615320784
34,150.82692307692307,88.70648776261794,212.9473583912282
35,163.55769230769232,95.85837746621722,231.2570071491674
36,164.01923076923077,96.12490449081723,231.9135570476443
37,185.6153846153846,110.08653140981859,261.14423782095065
38,188.0,111.34301655050727,264.6569834494927
39,189.55769230769232,112.20230700271793,266.9130776126667
40,205.5096153846154,122.47037816248239,288.54885260674837
41,209.8846153846154,124.58986483496182,295.17936593426896
42,215.01923076923077,127.34072308160427,302.6977384568573
43,215.53846153846155,127.58286528266166,303.49405779426144
44,219.22115384615384,129.39902905221703,309.04327864009065
45,247.30769230769232,148.33879780657693,346.2765868088077
46,256.84615384615387,155.02772326381597,358.66458442849176
47,272.53846153846155,164.90628493975584,380.17063813716726
48,273.75961538461536,165.55846630719148,381.96076446203926
49,274.0,165.6981703648772,382.3018296351228
50,276.28846153846155,166.95447137827017,385.6224516986529
51,278.40384615384613,168.17356739708143,388.6341249106108
52,281.50961538461536,170.10217137315325,392.91705939607743
53,285.9807692307692,172.59312811882475,399.3684103427137
54,285.5673076923077,172.16462900482435,398.969986379791
55,299.59615384615387,181.13209246134886,418.0602152309589
56,318.6442307692308,193.50984694939507,443.7786145890665
57,319.6923076923077,194.07876958139565,445.3058458032197
58,329.24038461538464,199.85527410842485,458.62549512234443
59,329.63461538461536,200.0293819267715,459.2398488424592
60,329.99038461538464,200.21741122285317,459.7633580079161
61,339.7980769230769,206.14038832880286,473.455765517351
62,342.21153846153845,207.43134295921763,476.99173396385925
63,352.11538461538464,213.51466618921378,490.71610304155547
64,352.83653846153845,213.85889813949507,491.81417878358184
65,352.1923076923077,213.43738453485403,490.94723084976135
66,370.15384615384613,224.79720509502712,515.5104872126651
67,371.25,225.50303452367734,516.9969654763227
68,386.6826923076923,235.61920499797966,537.746179617405
69,388.50961538461536,236.65102709741458,540.3682036718161
70,388.0576923076923,236.34388618767846,539.7714984277062
71,391.1826923076923,238.37398895126472,543.9913956641199
72,390.72115384615387,238.09784627120015,543.3444614211076
73,401.59615384615387,245.78961953890035,557.4026881534073
74,401.75,245.84949511794562,557.6505048820544
75,404.72115384615387,247.50999717522774,561.9323105170799
76,405.00961538461536,247.6493406349425,562.3698901342882
77,403.59615384615387,246.76813065750758,560.4241770348001
78,417.3076923076923,255.78611655443888,578.8292680609458
79,415.8942307692308,254.92522217971194,576.8632393587496
80,416.52884615384613,255.1450477798202,577.9126445278721
81,411.3269230769231,251.69162107918945,570.9622250746568
82,409.9230769230769,250.79614959987964,569.0500042462742
83,416.5769230769231,254.93170054834846,578.2221456054978
84,417.1826923076923,255.46361381898035,578.9017707964043
85,420.5769230769231,257.35941005457266,583.7944360992735
86,437.83653846153845,268.5388864727096,607.1341904503673
87,440.2307692307692,269.89571529858165,610.5658231629568
88,441.08653846153845,270.3326790372539,611.840397885823
89,435.9423076923077,266.9547800047638,604.9298353798515
90,449.22115384615387,275.7764726037897,622.665835088518
91,452.0673076923077,277.3924896146452,626.7421257699701
92,445.9423076923077,273.4725402536599,618.4120751309555
93,453.16346153846155,277.69904451588116,628.6278785610419
94,452.9326923076923,277.4943280269497,628.371056588435
95,455.40384615384613,278.7487566569398,632.0589356507525
96,456.22115384615387,279.1909457218569,633.2513619704508
97,460.0576923076923,281.8306565617599,638.2847280536248
98,453.24038461538464,277.88092621586236,628.5998430149069
99,456.28846153846155,279.3740190857977,633.2029039911254
100,461.3076923076923,282.4083590799437,640.207025535441
101,457.36538461538464,279.8112701504946,634.9194990802747
102,462.5,282.57617460883455,642.4238253911655
103,460.9423076923077,281.78724748039326,640.0973679042221
104,463.8557692307692,283.309966747291,644.4015717142474
105,469.6730769230769,286.56955586207096,652.7765979840829
106,477.1730769230769,291.52305192946517,662.8231019166886
107,476.7980769230769,291.2838560228678,662.312297823286
108,476.125,291.0447919688988,661.2052080311012
109,476.3942307692308,290.9726440875629,661.8158174508986
110,483.8173076923077,295.2471423319258,672.3874730526895
111,476.61538461538464,290.11704679253603,663.1137224382333
112,475.2307692307692,289.3524231273701,661.1091153341683
113,477.96153846153845,290.28640924178865,665.6366676812883
114,466.7980769230769,282.7729818823318,650.823171963822
115,488.4519230769231,298.503491096621,678.4003550572252
116,508.1057692307692,312.24370406245146,703.967834399087
117,507.3173076923077,311.8980325666723,702.736582817943
118,498.34615384615387,305.1230118532237,691.569295839084
119,496.3557692307692,303.98706551338375,688.7244729481547
120,515.9807692307693,317.19781613651037,714.7637223250282
121,509.1057692307692,312.87746500539026,705.3340734561482
122,536.1057692307693,331.92894043131844,740.2825980302201
123,547.2211538461538,338.69744310375256,755.7448645885551
124,542.2788461538462,335.86654611421517,748.6911461934772
125,547.5865384615385,339.15782253878365,756.0152543842933
126,547.3557692307693,339.00063759897864,755.7109008625599
127,574.375,359.24709456501313,789.5029054349868
128,576.5192307692307,360.3259673656306,792.7124941728308
129,564.8173076923077,352.64137319219833,776.9932421924171
130,559.4903846153846,348.77188054699354,770.2088886837757
131,561.3461538461538,350.26214985738113,772.4301578349265
132,565.1826923076923,352.83943537059133,777.5259492447932
133,566.7307692307693,353.7140577249466,779.747480736592
134,567.6538461538462,354.1750976585319,781.1325946491604
135,558.2884615384615,348.37690398186817,768.2000190950549
136,551.8461538461538,343.822037527268,759.8702701650396
137,591.6826923076923,373.0306381287341,810.3347464866504
138,602.7884615384615,379.6876276382993,825.8892954386238
139,609.8653846153846,384.0147667060834,835.7160025246859
140,599.5961538461538,376.8695326235289,822.3227750687787
141,596.5480769230769,374.9499376226206,818.1462162235332
142,585.1826923076923,368.2556312652516,802.1097533501329
143,589.2211538461538,370.46407435188803,807.9782333404196
144,593.5384615384615,372.6466081711742,814.4303149057489
145,605.0576923076923,379.22100416169263,830.8943804536918
146,599.7596153846154,374.8150936673219,824.7041371019088
147,595.0865384615385,371.1335157786971,819.0395611443798
148,596.6057692307693,371.8668099171081,821.3447285444304
149,594.4230769230769,370.5418626828284,818.3042911633254
150,603.9038461538462,376.40550983502027,831.4021824726722
151,606.3365384615385,377.6668174845171,835.0062594385598
152,619.9230769230769,386.9146616370741,852.9314922090797
153,624.4711538461538,389.3572200387674,859.5850876535402
154,623.1730769230769,388.44814212815004,857.8980117180038
155,622.5384615384615,387.9606236320733,857.1162994448498
156,633.1634615384615,394.2941344276905,872.0327886492325
157,626.75,390.2964427718623,863.2035572281377
158,620.3846153846154,386.3454445743253,854.4237861949055
159,629.3942307692307,392.61194393887314,866.1765175995884
160,621.4326923076923,387.6020430968906,855.2633415184939
161,614.4423076923077,382.57018739084276,846.3144279937727
162,613.8365384615385,382.1007411734771,845.5723357495998
163,615.4134615384615,383.2115156416497,847.6154074352734
164,608.8942307692307,379.09280891069545,838.695652627766
165,620.75,386.82871296187193,854.6712870381281
166,625.7596153846154,389.8266578321902,861.6925729370405
167,617.5961538461538,385.008055155617,850.1842525366906
168,614.7403846153846,383.3665481380067,846.1142210927626
169,624.8942307692307,390.1413753439442,859.6470861945172
170,663.9615384615385,420.00783207538973,907.9152448476872
171,647.25,409.84229140128764,884.6577085987124
172,639.7115384615385,404.35144687950765,875.0716300435693
173,642.625,406.051293455325,879.198706544675
174,642.1730769230769,405.7896151025644,878.5565387435894
175,655.1346153846154,414.3733213507526,895.8959094184781
176,651.8846153846154,412.58697274620886,891.1822580230219
177,644.4711538461538,408.1287803739711,880.8135273183366
178,616.9519230769231,390.8365284270664,843.0673177267797
179,617.9423076923077,391.34270348113336,844.5419119034821
180,686.7115384615385,446.31093996571644,927.1121369573605
181,684.4807692307693,445.1621572496373,923.7993812119013
182,703.9230769230769,457.67636223965894,950.1697916064949
183,757.6826923076923,493.53535566452763,1021.8300289508569
184,750.5865384615385,489.210721254855,1011.9623556682219
185,768.6346153846154,502.11365316752074,1035.1555776017099
186,791.7596153846154,518.8856984059563,1064.6335323632743
187,799.9519230769231,525.5111476041509,1074.3926985496953
188,818.1730769230769,538.2404823676333,1098.1056714785204
189,796.6538461538462,522.6574261029195,1070.6502662047728
190,790.7788461538462,518.3706957952152,1063.1869965124772
191,791.6346153846154,518.8527070679894,1064.4165237012412
192,788.0576923076923,516.4426251392767,1059.6727594761078
193,794.4038461538462,520.0560145493281,1068.7516777583642
194,785.0865384615385,513.1538467337514,1057.0192301893255
195,804.125,527.2646877560832,1080.9853122439167
196,789.6057692307693,516.236743370659,1062.9747950908795
197,783.6153846153846,512.8613256985403,1054.369443532229
198,785.375,514.4094463808146,1056.3405536191854
199,773.3269230769231,507.42379540100444,1039.2300507528416
200,782.9903846153846,513.5881408672917,1052.3926283634776
201,762.5865384615385,498.34529554523624,1026.8277813778407
202,769.3557692307693,503.8795626377968,1034.8319758237417
203,765.6634615384615,501.8181866995598,1029.5087363773632
204,756.625,495.31529530927736,1017.9347046907226
205,758.7692307692307,496.55498082558125,1020.9834807128802
206,752.3173076923077,492.56657300970994,1012.0680423749055
207,752.3461538461538,492.70391909668604,1011.9883885956216
