,m5XiUJ
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,4.0
37,4.0
38,30.0
39,30.0
40,34.0
41,35.0
42,35.0
43,35.0
44,35.0
45,36.0
46,37.0
47,38.0
48,39.0
49,39.0
50,39.0
51,39.0
52,46.0
53,49.0
54,49.0
55,49.0
56,49.0
57,49.0
58,49.0
59,49.0
60,49.0
61,51.0
62,51.0
63,51.0
64,51.0
65,51.0
66,52.0
67,52.0
68,52.0
69,52.0
70,52.0
71,53.0
72,53.0
73,53.0
74,53.0
75,53.0
76,53.0
77,53.0
78,53.0
79,53.0
80,53.0
81,53.0
82,54.0
83,54.0
84,54.0
85,54.0
86,54.0
87,55.0
88,55.0
89,55.0
90,54.0
91,55.0
92,55.0
93,55.0
94,55.0
95,55.0
96,55.0
97,55.0
98,57.0
99,58.0
100,58.0
101,58.0
102,58.0
103,58.0
104,43.0
105,34.0
106,33.0
107,33.0
108,44.0
109,44.0
110,43.0
111,43.0
112,43.0
113,44.0
114,41.0
115,40.0
116,41.0
117,41.0
118,42.0
119,42.0
120,41.0
121,40.0
122,39.0
123,39.0
124,39.0
125,39.0
126,33.0
127,30.0
128,30.0
129,30.0
130,30.0
131,30.0
132,30.0
133,30.0
134,31.0
135,29.0
136,28.0
137,30.0
138,30.0
139,32.0
140,31.0
141,31.0
142,31.0
143,31.0
144,30.0
145,30.0
146,34.0
147,34.0
148,35.0
149,35.0
150,35.0
151,40.0
152,40.0
153,41.0
154,41.0
155,41.0
156,44.0
157,44.0
158,50.0
159,50.0
160,50.0
161,49.0
162,49.0
163,49.0
164,1.0
165,0.0
166,0.0
167,0.0
168,51.0
169,51.0
170,54.0
171,54.0
172,54.0
173,54.0
174,53.0
175,54.0
176,54.0
177,54.0
178,54.0
179,54.0
180,53.0
181,42.0
182,42.0
183,43.0
184,43.0
185,43.0
186,43.0
187,44.0
188,44.0
189,44.0
190,42.0
191,42.0
192,44.0
193,44.0
194,44.0
195,47.0
196,47.0
197,54.0
198,54.0
199,66.0
200,80.0
201,88.0
202,88.0
203,88.0
204,88.0
205,87.0
206,88.0
207,89.0
208,88.0
209,88.0
210,91.0
211,98.0
212,100.0
213,99.0
214,99.0
215,96.0
216,96.0
217,96.0
218,97.0
219,97.0
220,102.0
221,102.0
222,99.0
223,103.0
224,102.0
225,104.0
226,105.0
227,99.0
228,99.0
229,100.0
230,100.0
231,102.0
232,96.0
233,96.0
234,86.0
235,87.0
236,89.0
237,89.0
238,89.0
239,89.0
240,90.0
241,90.0
242,91.0
243,91.0
244,88.0
245,90.0
246,92.0
247,93.0
