idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.1746031746031746,0.023941815649922177,0.32526453355642704
5,0.1746031746031746,0.023941815649922177,0.32526453355642704
6,0.20634920634920634,0.02806676851981421,0.38463164417859846
7,0.47619047619047616,0.21061205153670826,0.7417689008442441
8,14.380952380952381,10.456331448637314,18.30557331326745
9,14.444444444444445,10.502981893433779,18.385906995455112
10,14.476190476190476,10.521505218945475,18.430875733435478
11,14.492063492063492,10.527190891945644,18.45693609218134
12,14.619047619047619,10.617494515546008,18.620600722549227
13,15.380952380952381,11.15607029101956,19.605834470885203
14,17.015873015873016,12.309320409635118,21.72242562211091
15,31.238095238095237,22.218906772746667,40.257283703443804
16,36.92063492063492,26.05267366931207,47.788596171957764
17,63.61904761904762,44.631964290286106,82.60613094780913
18,98.44444444444444,70.23495492258266,126.65393396630623
19,112.25396825396825,79.69880035531355,144.80913615262295
20,118.33333333333333,83.63972791921091,153.02693874745574
21,133.25396825396825,93.09772550814392,173.41021099979258
22,135.5873015873016,94.43450329450312,176.74009988010008
23,199.9206349206349,143.6327038908865,256.20856595038333
24,298.87301587301585,221.82592304388345,375.92010870214824
25,400.1746031746032,302.9670605638462,497.3821457853602
26,449.12698412698415,339.9268124312987,558.3271558226696
27,454.73015873015873,343.9284691922263,565.5318482680912
28,461.8253968253968,348.8401874755886,574.8106061752051
29,513.952380952381,388.6100612333619,639.2947006714
30,562.0793650793651,424.1649933190853,699.9937368396448
31,639.0952380952381,480.8139899513771,797.376486239099
32,646.9047619047619,486.27096650772876,807.5385573017951
33,708.6825396825396,533.4126224848861,883.9524568801932
34,730.7460317460317,549.4195188902542,912.0725446018092
35,758.0952380952381,569.2333601968716,946.9571159936046
36,794.2857142857143,595.7111807241031,992.8602478473256
37,798.015873015873,598.2513390131612,997.7804070185848
38,804.4285714285714,602.5972622709672,1006.2598805861757
39,806.1428571428571,603.7209675817805,1008.5647467039337
40,837.3492063492064,625.9561929321467,1048.742219766266
41,896.5555555555555,670.4901065394156,1122.6210045716955
42,897.5555555555555,671.1042969639504,1124.0068141471606
43,897.5238095238095,671.0849593166198,1123.9626597309993
44,897.5873015873016,671.1293639447755,1124.0452392298278
45,897.5555555555555,671.104088492685,1124.007022618426
46,921.6507936507936,687.5196049810115,1155.7819823205757
47,927.7142857142857,691.3954688526837,1164.0331025758876
48,928.8571428571429,692.1255341510525,1165.5887515632332
49,974.6507936507936,726.0064176376231,1223.295169663964
50,977.9206349206349,728.1746831822388,1227.666586659031
51,1121.142857142857,845.0547848201777,1397.2309294655365
52,1205.857142857143,911.7652728621827,1499.9490128521031
53,1215.2063492063492,918.2882138763335,1512.124484536365
54,1242.904761904762,938.0405226042151,1547.7690012053088
55,1244.095238095238,938.8787222157868,1549.3117539746895
56,1244.952380952381,939.5122560207021,1550.3925058840598
57,1307.4920634920634,987.3489518963422,1627.6351750877845
58,1309.5873015873017,988.7082664463458,1630.4663367282576
59,1339.7301587301588,1010.6053081659077,1668.85500929441
60,1347.142857142857,1015.4970435054379,1678.7886707802763
61,1363.2857142857142,1028.2061678833647,1698.3652606880637
62,1404.4920634920634,1058.5909933131236,1750.3931336710032
63,1404.3650793650793,1058.4923173670368,1750.2378413631218
64,1427.8412698412699,1075.196711314949,1780.4858283675908
65,1476.857142857143,1111.7385720439233,1841.9757136703624
66,1476.095238095238,1111.2601717116975,1840.9303044787787
67,1508.952380952381,1135.2167805234722,1882.6879813812898
68,1508.904761904762,1135.2039675302663,1882.6055562792576
69,1521.4603174603174,1143.9574092962584,1898.9632256243763
70,1517.3968253968253,1140.900268554802,1893.8933822388485
71,1516.3650793650793,1140.215493879978,1892.5146648501805
72,1515.3333333333333,1139.6208641292726,1891.045802537394
73,1522.0,1144.3227920118932,1899.6772079881068
74,1519.063492063492,1142.408867424358,1895.718116702626
75,1525.126984126984,1146.8331591175047,1903.4208091364635
76,1585.5714285714287,1194.2188592799528,1976.9239978629046
77,1586.4285714285713,1194.8201354516182,1978.0370074055245
78,1590.6666666666667,1197.6585729435226,1983.674760389811
79,1587.6666666666667,1195.6847817805753,1979.6485515527581
80,1591.111111111111,1198.101032612666,1984.1211896095563
81,1596.8095238095239,1201.9206336918717,1991.698413927176
82,1600.1904761904761,1203.8308129323887,1996.5501394485636
83,1598.952380952381,1202.3617512255848,1995.543010679177
84,1617.3333333333333,1215.5645974222925,2019.102069244374
85,1676.7142857142858,1261.343776999864,2092.0847944287075
86,1674.6507936507937,1259.880320640236,2089.421266661351
87,1744.8412698412699,1314.0441503148343,2175.6383893677057
88,1745.5714285714287,1314.5077877012125,2176.635069441645
89,1750.6666666666667,1318.1206437033732,2183.21268962996
90,1743.2380952380952,1312.9098830000075,2173.566307476183
91,1765.047619047619,1329.7877897279875,2200.307448367251
92,1813.2380952380952,1368.2375268457233,2258.2386636304673
