idx,mean,ci_lower,ci_upper
1,0.0,,
2,0.0,,
3,0.0,,
4,0.0,,
5,0.0,,
6,0.0,,
7,0.0,,
8,0.0,,
9,0.0,,
10,0.0,,
11,0.0,,
12,0.0,,
13,0.0,,
14,0.0,,
15,0.0,,
16,0.0,,
17,1.0,,
18,1.0,,
19,1.0,,
20,1.0,,
21,1.0,,
22,1.0,,
23,1.0,,
24,1.0,,
25,2.0,,
26,2.0,,
27,2.0,,
28,2.0,,
29,3.0,,
30,3.0,,
31,3.0,,
32,4.0,,
33,4.0,,
34,4.0,,
35,4.0,,
36,4.0,,
37,4.0,,
38,4.0,,
39,4.0,,
40,4.0,,
41,4.0,,
42,4.0,,
43,4.0,,
44,4.0,,
45,4.0,,
46,4.0,,
47,4.0,,
48,6.0,,
49,6.0,,
50,6.0,,
51,6.0,,
52,6.0,,
53,7.0,,
54,8.0,,
55,8.0,,
56,8.0,,
57,8.0,,
58,9.0,,
59,12.0,,
60,12.0,,
61,12.0,,
62,12.0,,
63,12.0,,
64,12.0,,
65,12.0,,
66,12.0,,
67,12.0,,
68,12.0,,
69,12.0,,
70,12.0,,
71,12.0,,
72,12.0,,
73,12.0,,
74,12.0,,
75,12.0,,
76,12.0,,
77,0.0,,
78,12.0,,
79,12.0,,
80,12.0,,
81,12.0,,
82,12.0,,
83,12.0,,
84,12.0,,
85,13.0,,
86,13.0,,
87,13.0,,
88,13.0,,
89,12.0,,
90,12.0,,
91,12.0,,
92,10.0,,
93,10.0,,
94,10.0,,
95,10.0,,
96,10.0,,
97,10.0,,
98,11.0,,
99,11.0,,
100,11.0,,
101,11.0,,
102,14.0,,
103,14.0,,
104,14.0,,
105,14.0,,
106,14.0,,
107,15.0,,
108,15.0,,
109,15.0,,
110,15.0,,
111,16.0,,
112,16.0,,
113,16.0,,
114,16.0,,
115,16.0,,
116,18.0,,
117,18.0,,
118,19.0,,
119,17.0,,
120,17.0,,
121,17.0,,
122,17.0,,
123,17.0,,
124,16.0,,
125,16.0,,
126,16.0,,
127,16.0,,
128,16.0,,
129,15.0,,
130,15.0,,
131,16.0,,
132,13.0,,
133,15.0,,
134,15.0,,
135,15.0,,
136,15.0,,
137,15.0,,
138,17.0,,
139,18.0,,
140,18.0,,
141,18.0,,
142,18.0,,
143,20.0,,
144,20.0,,
145,20.0,,
146,20.0,,
147,20.0,,
148,20.0,,
149,20.0,,
150,20.0,,
151,20.0,,
152,20.0,,
153,20.0,,
154,20.0,,
155,20.0,,
156,20.0,,
157,21.0,,
158,22.0,,
159,21.0,,
160,21.0,,
161,21.0,,
162,20.0,,
163,23.0,,
164,23.0,,
165,23.0,,
166,24.0,,
167,26.0,,
168,26.0,,
169,23.0,,
170,26.0,,
171,26.0,,
172,26.0,,
173,26.0,,
174,26.0,,
175,26.0,,
176,26.0,,
177,26.0,,
178,26.0,,
179,25.0,,
180,25.0,,
181,24.0,,
182,24.0,,
183,24.0,,
184,24.0,,
