,32supx,4SWHMc,e3y7tj,QRRsiL,5pS65p,YB7Zxj,BYjiah,cWAMxe
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
12,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
13,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
14,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
16,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
17,0.0,0.0,0.0,2.0,1.0,1.0,17.0,0.0
18,0.0,0.0,0.0,3.0,1.0,1.0,20.0,0.0
19,0.0,0.0,0.0,3.0,1.0,1.0,20.0,0.0
20,0.0,1.0,0.0,4.0,2.0,4.0,35.0,3.0
21,0.0,1.0,0.0,5.0,2.0,4.0,38.0,3.0
22,0.0,1.0,7.0,29.0,5.0,17.0,104.0,13.0
23,0.0,2.0,9.0,44.0,7.0,23.0,147.0,18.0
24,0.0,2.0,9.0,45.0,7.0,24.0,161.0,18.0
25,0.0,2.0,10.0,46.0,7.0,24.0,174.0,18.0
26,0.0,2.0,13.0,59.0,7.0,27.0,221.0,23.0
27,0.0,2.0,13.0,59.0,7.0,27.0,227.0,23.0
28,0.0,2.0,15.0,68.0,7.0,28.0,266.0,27.0
29,0.0,2.0,15.0,68.0,7.0,28.0,269.0,27.0
30,0.0,3.0,27.0,109.0,20.0,47.0,366.0,41.0
31,0.0,4.0,27.0,110.0,20.0,48.0,380.0,42.0
32,0.0,5.0,28.0,128.0,22.0,53.0,529.0,46.0
33,0.0,5.0,29.0,130.0,23.0,57.0,558.0,47.0
34,0.0,5.0,29.0,130.0,23.0,57.0,557.0,47.0
35,0.0,7.0,38.0,179.0,33.0,80.0,722.0,70.0
36,0.0,7.0,38.0,184.0,33.0,83.0,756.0,70.0
37,0.0,7.0,40.0,193.0,34.0,91.0,816.0,72.0
38,0.0,7.0,40.0,201.0,35.0,94.0,862.0,72.0
39,0.0,7.0,40.0,201.0,35.0,94.0,862.0,72.0
40,0.0,7.0,44.0,218.0,35.0,103.0,958.0,75.0
41,0.0,7.0,44.0,218.0,35.0,103.0,960.0,75.0
42,0.0,7.0,50.0,228.0,37.0,105.0,1045.0,79.0
43,0.0,7.0,52.0,228.0,37.0,105.0,1056.0,79.0
44,0.0,7.0,52.0,228.0,37.0,105.0,1058.0,79.0
45,0.0,7.0,56.0,241.0,43.0,111.0,1130.0,87.0
46,0.0,7.0,56.0,244.0,43.0,113.0,1134.0,88.0
47,0.0,10.0,62.0,267.0,47.0,127.0,1232.0,96.0
48,0.0,10.0,63.0,268.0,47.0,128.0,1245.0,96.0
49,0.0,10.0,63.0,268.0,47.0,128.0,1246.0,96.0
50,0.0,10.0,63.0,268.0,47.0,128.0,1248.0,96.0
51,0.0,10.0,63.0,268.0,47.0,128.0,1249.0,97.0
52,0.0,10.0,63.0,268.0,47.0,128.0,1254.0,98.0
53,0.0,10.0,63.0,269.0,47.0,128.0,1280.0,98.0
54,0.0,10.0,63.0,269.0,47.0,128.0,1288.0,98.0
55,0.0,10.0,64.0,269.0,47.0,129.0,1296.0,98.0
56,0.0,10.0,64.0,269.0,47.0,128.0,1301.0,98.0
57,0.0,10.0,64.0,269.0,47.0,128.0,1308.0,98.0
58,0.0,10.0,64.0,271.0,47.0,128.0,1321.0,99.0
