,48cAtM,YAdfpF,2YwKxe
1,0.0,0.0,0.0
2,0.0,1.0,0.0
3,26.0,235.0,8.0
4,26.0,240.0,9.0
5,26.0,242.0,9.0
6,28.0,256.0,9.0
7,28.0,259.0,9.0
8,28.0,266.0,9.0
9,56.0,450.0,18.0
10,63.0,529.0,20.0
11,71.0,611.0,24.0
12,81.0,689.0,24.0
13,82.0,704.0,25.0
14,88.0,734.0,26.0
15,89.0,739.0,26.0
16,90.0,742.0,26.0
17,95.0,789.0,27.0
18,97.0,832.0,27.0
19,101.0,857.0,28.0
20,118.0,968.0,30.0
21,118.0,969.0,30.0
22,129.0,1043.0,35.0
23,129.0,1046.0,35.0
24,133.0,1082.0,36.0
25,134.0,1089.0,36.0
26,139.0,1145.0,38.0
27,140.0,1152.0,38.0
28,140.0,1154.0,38.0
29,141.0,1174.0,38.0
30,141.0,1193.0,38.0
31,161.0,1347.0,48.0
32,161.0,1356.0,48.0
33,162.0,1364.0,48.0
34,216.0,1612.0,74.0
35,216.0,1613.0,74.0
36,257.0,1799.0,80.0
37,257.0,1802.0,80.0
38,257.0,1804.0,80.0
39,262.0,1842.0,80.0
40,262.0,1851.0,80.0
41,266.0,1888.0,81.0
42,270.0,1919.0,82.0
43,271.0,1929.0,82.0
44,272.0,1935.0,83.0
45,276.0,1962.0,84.0
46,283.0,1993.0,84.0
47,283.0,1997.0,84.0
48,284.0,2003.0,84.0
49,285.0,2013.0,84.0
50,289.0,2080.0,89.0
51,295.0,2131.0,90.0
52,295.0,2136.0,90.0
53,296.0,2143.0,90.0
54,296.0,2146.0,90.0
55,296.0,2142.0,90.0
56,297.0,2158.0,90.0
57,298.0,2163.0,90.0
58,303.0,2208.0,90.0
59,303.0,2217.0,92.0
60,305.0,2230.0,92.0
61,305.0,2229.0,92.0
62,305.0,2236.0,92.0
63,305.0,2238.0,92.0
64,306.0,2243.0,92.0
65,309.0,2275.0,94.0
66,310.0,2279.0,94.0
67,312.0,2300.0,95.0
68,315.0,2319.0,96.0
69,318.0,2326.0,96.0
70,315.0,2260.0,88.0
71,302.0,2181.0,88.0
72,305.0,2212.0,88.0
73,305.0,2221.0,88.0
74,308.0,2235.0,88.0
75,308.0,2243.0,88.0
76,327.0,2354.0,94.0
77,327.0,2352.0,94.0
78,334.0,2397.0,96.0
79,337.0,2424.0,97.0
80,337.0,2414.0,97.0
81,347.0,2478.0,102.0
82,357.0,2521.0,105.0
83,350.0,2464.0,99.0
84,366.0,2513.0,103.0
85,359.0,2446.0,100.0
86,353.0,2390.0,100.0
87,364.0,2450.0,104.0
88,358.0,2426.0,103.0
89,360.0,2434.0,104.0
90,359.0,2433.0,104.0
91,360.0,2443.0,108.0
92,383.0,2526.0,113.0
93,380.0,2493.0,112.0
94,364.0,2403.0,110.0
95,364.0,2403.0,110.0
96,353.0,2338.0,104.0
97,387.0,2512.0,114.0
98,403.0,2573.0,119.0
99,412.0,2624.0,117.0
100,407.0,2586.0,117.0
101,407.0,2575.0,116.0
102,411.0,2600.0,116.0
103,411.0,2592.0,116.0
104,413.0,2601.0,116.0
105,394.0,2473.0,106.0
106,394.0,2452.0,106.0
107,395.0,2449.0,104.0
108,362.0,2331.0,78.0
109,363.0,2340.0,78.0
110,325.0,2208.0,79.0
111,324.0,2200.0,79.0
112,325.0,2208.0,80.0
113,321.0,2194.0,80.0
114,325.0,2231.0,82.0
115,325.0,2243.0,82.0
116,321.0,2217.0,81.0
117,321.0,2217.0,81.0
118,319.0,2219.0,80.0
119,317.0,2208.0,79.0
120,311.0,2210.0,79.0
121,323.0,2296.0,82.0
122,322.0,2297.0,82.0
123,326.0,2337.0,82.0
124,323.0,2296.0,77.0
125,325.0,2325.0,80.0
126,325.0,2329.0,81.0
127,325.0,2335.0,81.0
128,326.0,2343.0,81.0
129,329.0,2353.0,81.0
130,327.0,2333.0,81.0
131,327.0,2347.0,80.0
132,323.0,2304.0,79.0
133,323.0,2303.0,79.0
134,329.0,2352.0,81.0
135,330.0,2355.0,81.0
136,337.0,2364.0,81.0
137,338.0,2365.0,81.0
138,337.0,2360.0,81.0
139,350.0,2400.0,82.0
140,349.0,2398.0,82.0
141,349.0,2392.0,81.0
142,347.0,2379.0,80.0
143,343.0,2360.0,80.0
144,342.0,2350.0,80.0
145,339.0,2355.0,80.0
146,346.0,2400.0,81.0
147,346.0,2403.0,81.0
148,343.0,2366.0,81.0
149,343.0,2358.0,81.0
150,326.0,2253.0,76.0
151,325.0,2256.0,76.0
152,322.0,2284.0,75.0
153,322.0,2279.0,74.0
154,329.0,2323.0,70.0
155,321.0,2282.0,63.0
156,316.0,2257.0,63.0
157,309.0,2258.0,64.0
158,286.0,2152.0,57.0
159,286.0,2152.0,57.0
160,282.0,2137.0,57.0
161,271.0,2058.0,52.0
162,272.0,2062.0,52.0
163,268.0,2051.0,51.0
164,284.0,2128.0,43.0
165,278.0,2083.0,43.0
166,256.0,1957.0,43.0
167,257.0,1963.0,43.0
168,257.0,1958.0,43.0
169,258.0,1971.0,43.0
170,261.0,1997.0,33.0
171,227.0,1838.0,33.0
