idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,17.634615384615383,11.061990883229706,24.207239886001062
3,61.60576923076923,38.43027652693339,84.78126193460508
4,70.34615384615384,43.29523533936991,97.39707235293777
5,82.20192307692308,50.2924295269408,114.11141662690537
6,84.47115384615384,51.5156485037896,117.42665918851807
7,159.80769230769232,110.28357825555672,209.3318063598279
8,165.83653846153845,113.6567552519332,218.01632167114371
9,170.58653846153845,116.34367675327518,224.82940016980172
10,173.91346153846155,118.06328441931055,229.76363865761255
11,175.90384615384616,119.1362514109199,232.67144089677242
12,189.84615384615384,127.88004362846306,251.81226406384462
13,195.81730769230768,131.06873071507601,260.56588466953934
14,198.65384615384616,132.3918479230624,264.91584438462996
15,202.83653846153845,134.59731479836648,271.0757621247104
16,204.26923076923077,135.24495310139912,273.2935084370624
17,225.25,148.79290220612617,301.7070977938738
18,233.58653846153845,153.54622186543088,313.626855057646
19,244.47115384615384,159.9967382203087,328.94556947199897
20,244.90384615384616,160.2675710857175,329.5401212219748
21,245.58653846153845,160.6024588296022,330.5706180934747
22,245.84615384615384,160.68703437587124,331.00527331643644
23,247.80769230769232,161.74424976440054,333.8711348509841
24,266.0480769230769,173.30275057050838,358.79340327564546
25,286.0576923076923,186.0105392075264,386.10484540785825
26,286.6442307692308,186.34757630946285,386.9408852289987
27,293.625,190.23928931680643,397.01071068319357
28,293.6826923076923,190.27882370893587,397.08656090644877
29,317.52884615384613,206.11366716387028,428.944025143822
30,318.41346153846155,206.5710667487785,430.2558563281446
31,330.02884615384613,213.44675232880587,446.6109399788864
32,332.00961538461536,214.43605330384617,449.58317746538455
33,331.90384615384613,214.34101823218148,449.4666740755108
34,338.52884615384613,218.04787601900085,459.0098162886914
35,345.72115384615387,221.9602348256216,469.48207286668617
36,357.66346153846155,228.80162150010202,486.5253015768211
37,374.3173076923077,239.0063296864706,509.62828569814474
38,374.1442307692308,238.84510803565092,509.4433535028106
39,404.0673076923077,258.5971488437541,549.5374665408613
40,404.38461538461536,258.78376611999806,549.9854646492327
41,407.3076923076923,260.269011971297,554.3463726440876
42,412.1826923076923,262.59294752217,561.7724370932146
43,424.6923076923077,269.1592306921632,580.2253846924522
44,441.75,279.47493960127906,604.0250603987209
45,442.34615384615387,279.72972432169297,604.9625833706148
46,442.4230769230769,279.728015043378,605.1181388027758
47,444.3557692307692,280.67932901796337,608.0322094435751
48,470.875,298.01565242654283,643.7343475734572
49,488.74038461538464,308.93933697321756,668.5414322575517
50,490.71153846153845,309.86318889602575,671.5598880270511
51,498.5576923076923,314.0605448209304,683.0548397944542
52,499.4423076923077,314.38099659122884,684.5036187933865
53,524.6634615384615,330.91539526562207,718.4115278113011
54,540.5673076923077,340.1712355239223,740.9633798606932
55,544.5961538461538,342.3009093948579,746.8913982974498
56,555.9423076923077,348.6423247526224,763.242290631993
57,556.0961538461538,348.61718489139884,763.5751228009087
58,563.5865384615385,352.88055643838345,774.2925204846935
59,563.5673076923077,352.83801072233786,774.2966046622776
60,571.6153846153846,357.1949802905635,786.0357889402057
61,584.1826923076923,364.55044333849366,803.8149412768909
62,601.5769230769231,375.2531878266532,827.900658327193
63,616.3461538461538,383.94515695775976,848.7471507345479
64,634.3365384615385,394.5630672765653,874.1100096465116
