idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.8210526315789474,0.2455281131891962,1.3965771499686985
3,25.28421052631579,13.656881630889645,36.911539421741935
4,48.0,26.866873984552818,69.13312601544717
5,52.95789473684211,29.399590774629537,76.51619869905468
6,67.2421052631579,37.711877501365294,96.7723330249505
7,67.5578947368421,37.837123082634044,97.27866639105017
8,67.74736842105263,37.906120785525324,97.58861605657992
9,68.15789473684211,38.04524158486169,98.27054788882253
10,68.78947368421052,38.399200063280496,99.17974730514055
11,79.52631578947368,44.27544807043047,114.7771835085169
12,81.90526315789474,45.452099181817154,118.35842713397233
13,98.83157894736843,55.518866353494516,142.14429154124235
14,99.08421052631579,55.677650852608195,142.49077020002338
15,99.78947368421052,56.02301911883499,143.55592824958606
16,103.0,57.4440733961584,148.5559266038416
17,103.25263157894737,57.566415909047805,148.93884724884694
18,114.08421052631579,63.44597256322973,164.72244848940184
19,146.67368421052632,85.4060655878881,207.94130283316454
20,158.9578947368421,92.16478035686187,225.75100911682233
21,163.06315789473683,94.10431175355036,232.02200403592332
22,164.2736842105263,94.52361387924478,234.02375454180785
23,165.3578947368421,94.99930401953127,235.71648545415292
24,169.3578947368421,96.90534405401783,241.81044541966637
25,173.92631578947368,99.03854187687976,248.81408970206758
26,179.82105263157894,102.00585093299203,257.63625433016585
27,209.18947368421053,121.23273846675,297.14620890167106
28,215.62105263157895,124.4665162028084,306.7755890603495
29,216.38947368421051,125.07333359803714,307.7056137703839
30,217.1263157894737,125.40817136787383,308.84446021107357
31,217.55789473684212,125.62469430774235,309.4910951659419
32,254.4,150.8922282961339,357.9077717038661
33,269.7157894736842,160.41111596726768,379.0204629801007
34,273.4947368421053,162.17403544179746,384.8154382424131
35,274.0105263157895,162.3764954455964,385.6445571859826
36,276.5052631578947,163.472870633809,389.5376556819804
37,276.2,163.2559133298036,389.1440866701964
38,291.42105263157896,171.13115609567248,411.7109491674854
39,292.61052631578946,171.49409530294022,413.7269573286387
40,321.9157894736842,190.4181018288308,453.41347711853757
41,321.61052631578946,190.08715155333496,453.133901078244
42,349.36842105263156,207.90002545532656,490.83681664993657
