idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,1.5578947368421052,0.8389758993329995,2.276813574351211
3,46.09473684210526,28.51683663878946,63.67263704542107
4,46.98947368421052,28.97919920098729,64.99974816743375
5,47.72631578947368,29.459708641296416,65.99292293765095
6,67.03157894736842,42.16230509748066,91.90085279725616
7,87.89473684210526,56.04007179709248,119.74940188711804
8,89.18947368421053,56.68154422837968,121.69740314004137
9,102.86315789473684,65.17041405952267,140.55590172995102
10,103.51578947368421,65.49146745273522,141.5401114946332
11,128.1263157894737,82.0576120085299,174.1950195704175
12,168.8,111.53110535876488,226.06889464123515
13,178.8,117.61602828485336,239.98397171514665
14,190.83157894736843,125.13198269302144,256.5311752017154
15,196.1578947368421,128.20132957128067,264.11445990240355
16,200.43157894736842,130.65221737919308,270.21094051554377
17,208.2736842105263,135.368476509569,281.1788919114836
18,253.21052631578948,168.910173363853,337.51087926772595
19,257.8,171.49774064512633,344.1022593548737
20,288.06315789473683,192.80648313680157,383.31983265267206
21,288.8315789473684,193.23683661237413,384.4263212823627
22,288.93684210526317,193.31607825264774,384.5576059578786
23,289.3263157894737,193.60056140209463,385.0520701768528
24,304.61052631578946,203.31913089823598,405.90192173334293
25,334.0736842105263,224.07175615608935,444.0756122649633
26,350.10526315789474,234.4299855118989,465.7805408038906
27,350.2105263157895,234.49608948828268,465.9249631432963
28,350.82105263157894,235.00031608504182,466.641789178116
29,407.33684210526314,277.4587161410112,537.2149680695151
30,417.89473684210526,283.81046787469336,551.9790058095172
31,419.2315789473684,284.5746187358752,553.8885391588616
32,426.58947368421053,288.89671981778736,564.2822275506337
33,453.33684210526314,307.3183818645684,599.3553023459579
34,461.6421052631579,312.3606903194627,610.923520206853
35,463.1578947368421,313.22052552067146,613.0952639530127
36,474.4947368421053,321.21301112526214,627.7764625589484
37,475.6,321.82537073042045,629.3746292695796
38,476.41052631578947,322.3085667407867,630.5124858907923
39,477.65263157894736,323.0060859134736,632.2991772444211
40,478.2736842105263,323.34753551579433,633.1998329052583
41,480.36842105263156,324.5135343086846,636.2233077965785
42,491.0736842105263,331.1035685956851,651.0437998253676
43,499.0736842105263,335.8523033632099,662.2950650578427
44,500.0105263157895,336.3971656270156,663.6238870045634
45,502.14736842105265,337.5677065477636,666.7270302943417
46,502.33684210526314,337.6722025627839,667.0014816477424
47,509.9578947368421,342.4165987146075,677.4991907590767
48,515.7578947368421,345.8579195968816,685.6578698768026
49,530.1578947368421,355.0992691591631,705.2165203145211
50,533.1052631578947,356.7874489719569,709.4230773438325
51,537.6526315789474,359.43067160018643,715.8745915577084
52,537.8210526315789,359.50702742497725,716.1350778381807
53,548.0315789473684,365.74282465463443,730.3203332401024
54,551.2947368421053,367.94115542473355,734.648318259477
55,570.6,380.5397128856981,760.6602871143019
56,572.9157894736842,381.790676620877,764.0409023264914
57,619.3578947368421,415.4785876957062,823.237201777978
58,631.7157894736843,422.8390767923586,840.5925021550099
59,633.4842105263158,423.6971740176189,843.2712470350127
60,637.3684210526316,426.96057769411095,847.7762644111522
61,694.7684210526315,470.37078623386293,919.1660558714002
62,697.1157894736842,471.7765074313953,922.4550715159731
63,726.9894736842106,492.2968820337103,961.6820653347108
64,726.6736842105263,492.11930452378226,961.2280638972703
65,728.6526315789474,493.16851581096313,964.1367473469318
66,727.2842105263157,492.2954046925347,962.2730163600968
67,734.6210526315789,496.73221630203886,972.5098889611189
68,747.9473684210526,504.9706974083349,990.9240394337703
69,759.4526315789474,512.2270865545676,1006.6781766033272
70,745.8315789473684,503.05265190859416,988.6105059861426
71,743.9368421052632,502.03122820235683,985.8424560081695
72,743.1052631578947,501.35803262652564,984.8524936892637
73,742.3684210526316,500.9418874707676,983.7949546344955
74,735.6526315789474,496.3970791328295,974.9081840250653
75,736.4105263157895,496.7641862669401,976.056866364639
76,736.3578947368421,496.664575250966,976.0512142227183
77,736.8947368421053,496.90693107551203,976.8825426086986
78,733.9157894736842,495.0180354497756,972.8135434975927
79,740.6421052631579,499.0283255964871,982.2558849298287
80,727.8631578947368,490.4989985611825,965.2273172282911
81,713.1263157894737,480.6146205997133,945.638010979234
82,717.8,483.8690915024374,951.7309084975625
83,716.5578947368421,483.1261516659891,949.9896378076951
84,753.3894736842105,509.6364321541536,997.1425152142674
85,736.1263157894737,497.46346980800183,974.7891617709455
86,709.3684210526316,477.14596655482126,941.5908755504419
87,708.6210526315789,477.0694950192219,940.1726102439359
88,720.6947368421053,484.84279344939137,956.5466802348192
89,729.9263157894737,490.7450383487436,969.1075932302039
90,724.8526315789474,487.4114151176948,962.2938480401999
91,724.2631578947369,486.9417785675282,961.5845372219455
92,694.6842105263158,463.5783401195432,925.7900809330885
93,695.5157894736842,463.8967945199863,927.1347844273821
94,684.2,454.3143654372651,914.085634562735
95,703.021052631579,466.71904011828497,939.323065144873
96,694.6210526315789,462.94746763129103,926.2946376318667
97,695.578947368421,463.3808979150225,927.7769968218196
98,715.6210526315789,476.8277358400748,954.4143694230829
99,713.8526315789474,475.7732537605068,951.9320093973879
100,665.0421052631579,439.59754676279465,890.486663763521
101,669.9684210526316,442.80506340638294,897.1317786988802
102,688.3157894736842,453.3372913521048,923.2942875952635
103,688.5263157894736,453.4136031226213,923.6390284563261
104,684.5052631578948,450.8833422358484,918.1271840799411
105,699.9894736842106,462.3664145011025,937.6125328673186
106,692.2526315789473,456.8813732326538,927.6238899252409
107,720.1263157894737,479.0138052360626,961.2388263428847
108,714.6,475.6713983339921,953.528601666008
