idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.125,-0.11999999999999997,0.37
10,0.25,-0.23999999999999994,0.74
11,0.375,-0.14058219519296822,0.8905821951929682
12,0.375,-0.14058219519296822,0.8905821951929682
13,0.375,-0.14058219519296822,0.8905821951929682
14,0.375,-0.14058219519296822,0.8905821951929682
15,0.5,-0.24081036709808534,1.2408103670980855
16,0.5,-0.24081036709808534,1.2408103670980855
17,2.625,-1.4315286884231453,6.681528688423145
18,3.125,-1.6536216631995462,7.903621663199546
19,3.125,-1.6536216631995462,7.903621663199546
20,6.125,-2.0360063717656782,14.286006371765678
21,6.625,-2.2487942842957533,15.498794284295753
22,22.0,-1.8875448717527235,45.88754487175272
23,31.25,-2.616763943429845,65.11676394342985
24,33.25,-3.9157813048508388,70.41578130485084
25,35.125,-5.08987815473273,75.33987815473273
26,44.0,-7.267342431610388,95.26734243161039
27,44.75,-7.939730498456711,97.43973049845671
28,51.625,-10.272507421543231,113.52250742154322
29,52.0,-10.610529465897343,114.61052946589734
30,76.625,-7.79727090643793,161.04727090643792
31,78.875,-8.756508174856833,166.50650817485683
32,101.375,-21.538108434373257,224.28810843437327
33,106.125,-23.52127887062551,235.7712788706255
34,106.0,-23.40718836293445,235.40718836293445
35,141.125,-26.148290231883692,308.3982902318837
36,146.375,-29.00273583040692,321.7527358304069
37,156.625,-32.81179110721865,346.06179110721865
38,163.875,-36.537631400817645,364.28763140081765
39,163.875,-36.537631400817645,364.28763140081765
40,180.0,-43.09526037099039,403.0952603709904
41,180.25,-43.32374286798526,403.8237428679853
42,193.875,-49.649559798390754,437.3995597983908
43,195.5,-50.58205054412238,441.58205054412235
44,195.75,-50.81183179884107,442.31183179884107
45,209.375,-53.74331677973311,472.4933167797331
46,210.625,-53.395682949271986,474.645682949272
47,230.125,-56.424873538621455,516.6748735386215
48,232.125,-57.48719246606316,521.7371924660631
49,232.25,-57.60211487929496,522.102114879295
50,232.5,-57.831985148037006,522.831985148037
51,232.75,-57.789779204156446,523.2897792041565
52,233.5,-58.207663252098996,525.207663252099
53,236.875,-61.08240102403897,534.832401024039
54,237.875,-62.00395628903334,537.7539562890333
55,239.125,-62.61099060271215,540.8609906027121
56,239.625,-63.337670679078826,542.5876706790789
57,240.5,-64.14514701534301,545.145147015343
58,242.5,-65.2509857011022,550.2509857011022
59,244.375,-66.51411306927429,555.2641130692743
60,244.375,-66.51411306927429,555.2641130692743
61,245.25,-66.82197262811019,557.3219726281102
62,245.5,-67.05284545177312,558.0528454517731
63,270.875,-72.99219125993977,614.7421912599398
64,282.375,-77.9945878192276,642.7445878192276
65,289.25,-81.52517244281603,660.025172442816
66,290.0,-81.98400449481687,661.9840044948169
67,290.375,-82.3304684667238,663.0804684667238
68,291.875,-83.48244247983143,667.2324424798314
69,292.0,-83.5979792277908,667.5979792277908
70,293.0,-84.52247986047132,670.5224798604713
71,299.25,-87.05823457441329,685.5582345744133
72,299.75,-87.520576341658,687.0205763416579
73,309.875,-93.05969200975977,712.8096920097598
74,311.375,-93.90919982155725,716.6591998215572
75,314.25,-94.8161590745438,723.3161590745437
76,314.875,-95.39509106806696,725.1450910680669
77,324.875,-96.65414445504234,746.4041444550423
78,366.625,-93.48294062371923,826.7329406237193
79,373.0,-92.60447248711,838.60447248711
80,403.625,-94.61140836956099,901.861408369561
81,406.25,-95.54619498358096,908.046194983581
82,465.875,-79.7440861993374,1011.4940861993374
83,476.75,-82.21925076429739,1035.7192507642974
84,489.25,-83.7068075343899,1062.20680753439
85,489.375,-84.08698673059394,1062.836986730594
86,493.125,-84.92957599174838,1071.1795759917484
87,524.75,-84.61153119474147,1134.1115311947415
88,546.875,-93.74603214380954,1187.4960321438095
89,554.375,-99.97067578994506,1208.720675789945
90,588.875,-96.25689447361151,1274.0068944736115
91,618.0,-94.96792073697111,1330.967920736971
92,630.75,-95.22315880134283,1356.7231588013428
93,631.75,-95.63022608536733,1359.1302260853672
94,638.875,-98.279562914047,1376.029562914047
95,639.875,-98.95535348109502,1378.705353481095
96,669.5,-100.02200618305915,1439.0220061830591
97,692.875,-97.45079309105165,1483.2007930910518
98,692.375,-97.04456260596919,1481.794562605969
99,696.875,-97.16671705584838,1490.9167170558485
100,695.5,-96.21480445928239,1487.2148044592823
101,716.625,-96.87754248219767,1530.1275424821977
102,710.375,-94.93850927759797,1515.6885092775979
103,716.75,-97.6111098892186,1531.1111098892186
104,686.625,-95.73773494140801,1468.987734941408
105,686.5,-95.62701270317973,1468.6270127031798
106,689.75,-95.76768414212017,1475.2676841421203
107,685.75,-94.48702251303098,1465.987022513031
108,685.625,-94.37637245071551,1465.6263724507155
109,657.5,-95.38076878082097,1410.380768780821
