idx,mean,ci_lower,ci_upper
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.125,-0.11999999999999997,0.37
41,0.125,-0.11999999999999997,0.37
42,0.125,-0.11999999999999997,0.37
43,0.375,-0.14058219519296822,0.8905821951929682
44,1.25,-0.12349918092440082,2.6234991809244006
45,2.625,-0.6450191130939893,5.895019113093989
46,23.625,-6.14815275546075,53.39815275546075
47,25.875,-6.4383412849862935,58.18834128498629
48,29.5,-8.246814435128165,67.24681443512816
49,53.875,-17.558902490344167,125.30890249034417
50,59.75,-21.372752048978214,140.8727520489782
51,89.375,-29.079360092822228,207.82936009282224
52,97.875,-31.762283313867698,227.5122833138677
53,111.375,-36.1815838077041,258.9315838077041
54,112.75,-37.17981991585262,262.6798199158526
55,112.75,-37.17981991585262,262.6798199158526
56,115.25,-38.76096097356185,269.26096097356185
57,125.625,-42.470380736651975,293.720380736652
58,135.25,-44.898247007846265,315.3982470078463
59,161.25,-51.31021852642132,373.8102185264213
60,162.125,-51.62364496646521,375.87364496646524
61,169.125,-53.53671746620475,391.7867174662048
62,169.25,-53.65230259017065,392.1523025901706
63,174.875,-56.306634272707726,406.0566342727077
64,175.0,-56.422329086888226,406.4223290868882
65,178.5,-58.44093187965646,415.44093187965643
66,184.625,-61.354982569720505,430.6049825697205
67,185.25,-61.43700188700657,431.93700188700655
68,189.375,-64.733737797424,443.483737797424
69,189.375,-64.72509882918189,443.4750988291819
70,206.375,-70.27600148924097,483.02600148924097
71,222.875,-72.97614098985656,518.7261409898565
72,224.0,-72.98666300020949,520.9866630002095
73,224.125,-73.10235477240315,521.3523547724031
74,224.5,-73.20531738616961,522.2053173861696
75,225.125,-73.78382159113335,524.0338215911333
76,253.375,-82.27319890027712,589.0231989002771
77,254.875,-83.16522841224088,592.9152284122408
78,280.75,-89.19425161096905,650.6942516109691
79,290.375,-93.0555462857647,673.8055462857646
80,294.0,-94.90815676712151,682.9081567671215
81,302.625,-98.06592206462574,703.3159220646257
82,303.75,-98.86403515029122,706.3640351502912
83,320.625,-102.97149789038622,744.2214978903862
84,336.375,-106.05766315338877,778.8076631533888
85,336.875,-106.03953444767416,779.7895344476742
86,337.125,-106.27003112348916,780.5200311234892
87,341.25,-107.83000679166287,790.3300067916629
88,344.0,-110.06297360608465,798.0629736060846
89,361.875,-117.46357556533042,841.2135755653304
90,363.375,-118.35455506694831,845.1045550669483
91,366.125,-119.91935479182348,852.1693547918235
92,366.5,-120.26582665589825,853.2658266558983
93,376.25,-123.74043920859123,876.2404392085912
94,386.25,-126.84578374802493,899.3457837480249
95,389.0,-128.14281238358137,906.1428123835814
96,397.375,-131.25574127882498,926.005741278825
97,399.875,-132.80274050076468,932.5527405007647
98,464.375,-137.8226046323996,1066.5726046323996
99,468.125,-139.76931682242264,1076.0193168224228
100,484.625,-145.30866081278737,1114.5586608127874
101,503.125,-151.0901924443515,1157.3401924443515
102,503.125,-151.0901924443515,1157.3401924443515
103,522.5,-155.08670854732668,1200.0867085473267
104,522.75,-155.31650005733206,1200.8165000573322
105,526.0,-156.8271626114473,1208.8271626114474
106,538.375,-163.39590978822991,1240.1459097882298
107,539.125,-163.57624094454252,1241.8262409445424
108,542.375,-165.56640084119954,1250.3164008411995
109,547.25,-167.9847377609675,1262.4847377609676
110,549.125,-168.92514701272773,1267.1751470127278
111,557.375,-173.8385074142161,1288.588507414216
112,557.75,-174.18420940682893,1289.6842094068288
113,557.625,-174.0689722486445,1289.3189722486445
114,565.625,-178.94653815130482,1310.1965381513048
115,565.875,-178.92402713752244,1310.6740271375224
116,576.25,-184.35742811255795,1336.857428112558
117,594.75,-190.95847908114104,1380.458479081141
118,572.125,-182.7432648151265,1326.9932648151266
119,566.375,-182.4755457199052,1315.2255457199053
120,554.125,-176.8351116511077,1285.0851116511076
121,556.25,-178.00349090079226,1290.5034909007923
